Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.55
17	22	420.03	351	0	-2	7.55
16	22	420.03	352	0	-2	7.54
16	22	420.03	352	0	-2	7.54
16	22	420.03	352	0	-2	7.54
16	22	420.03	352	0	-2	7.54
16	22	420.03	352	0	-2	7.54
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
0	2	420.03	15	0	-2	7.53
0	2	420.03	15	0	-2	7.53
0	2	420.03	15	0	-2	7.53
0	2	420.03	15	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
16	22	420.03	352	0	-2	7.52
16	22	420.03	352	0	-2	7.52
16	22	420.03	352	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.51
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.52
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.54
17	22	420.03	351	0	-2	7.54
17	22	420.03	351	0	-2	7.54
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	420.03	351	0	-2	7.53
17	22	419.64	351	0	-2	7.52
17	22	419.64	351	0	-2	7.52
17	22	419.64	351	0	-2	7.52
17	22	419.64	351	0	-2	7.52
17	22	419.64	351	0	-2	7.52
