Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
-45	0	0.00	81	0	0	0.39
-45	0	0.00	81	0	-1	0.78
-45	0	0.00	81	0	-2	1.17
-45	0	0.00	81	-1	-2	1.56
-45	0	0.00	81	-1	-3	1.95
-45	0	0.00	81	-1	-3	2.34
-45	0	0.00	81	-1	-4	2.73
-45	0	0.00	81	-1	-4	3.12
-45	0	0.00	81	-1	-4	3.51
-45	0	0.00	82	-1	-5	3.89
-45	0	0.00	82	-2	-5	4.28
-45	0	0.00	82	-2	-5	4.67
-45	0	0.00	82	-2	-5	5.06
-45	0	0.00	82	-2	-6	5.44
-45	0	0.00	82	-2	-6	5.83
-45	0	0.00	82	-2	-6	6.22
-45	0	0.00	82	-2	-6	6.60
-45	0	0.00	82	-2	-6	6.99
-45	0	0.00	82	-2	-6	7.38
-45	0	0.00	82	-2	-7	7.76
-45	0	0.00	82	-2	-7	7.76
-45	0	0.00	82	-2	-7	7.76
Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
5	23	427.07	14	0	-4	7.35
5	23	427.07	14	0	-4	7.35
4	23	427.07	15	0	-4	7.35
4	23	427.07	15	0	-4	7.35
4	23	427.07	15	0	-4	7.35
4	23	427.07	15	0	-4	7.36
4	23	427.07	15	0	-4	7.36
4	23	427.07	15	0	-4	7.36
0	3	0.00	7	0	0	0.00
0	3	0.00	7	0	0	0.00
0	3	0.00	7	0	0	0.00
0	3	0.00	7	0	0	0.00
4	23	427.07	15	0	-4	7.34
4	23	427.07	15	0	-4	7.34
4	23	427.07	15	0	-4	7.34
4	23	427.07	15	0	-4	7.34
4	23	427.07	15	0	-4	7.34
4	23	427.07	15	0	-4	7.34
4	23	427.07	15	0	-4	7.34
5	23	427.07	14	0	-4	7.33
5	23	427.07	14	0	-4	7.33
5	23	427.07	14	0	-4	7.33
4	23	427.07	15	0	-4	7.32
4	23	427.07	15	0	-4	7.32
4	23	427.07	15	0	-4	7.32
4	23	427.07	15	0	-4	7.32
4	23	427.07	15	0	-4	7.32
4	23	427.07	15	0	-4	7.32
4	23	427.07	15	0	-4	7.32
4	23	427.07	15	0	-4	7.31
4	23	427.07	15	0	-4	7.31
4	23	427.07	15	0	-4	7.31
4	23	427.07	15	0	-4	7.31
5	23	427.07	14	0	-4	7.31
5	23	427.07	14	0	-4	7.31
5	23	427.07	14	0	-4	7.31
5	23	427.07	14	0	-4	7.32
5	23	427.07	14	0	-4	7.32
5	23	427.07	14	0	-4	7.32
5	23	427.07	14	0	-4	7.32
5	23	427.07	14	0	-4	7.32
5	23	427.07	14	0	-4	7.32
5	23	427.07	14	0	-4	7.32
0	0	0.00	0	0	32636	7.01
0	0	0.00	0	0	32636	7.01
0	0	0.00	0	0	32636	7.01
0	0	0.00	0	0	32636	7.01
5	23	427.07	14	0	-4	7.32
5	23	427.07	14	0	-4	7.32
5	23	427.07	14	0	-4	7.32
5	23	427.46	14	0	-4	7.33
4	23	427.46	15	0	-4	7.32
4	23	427.46	15	0	-4	7.32
4	23	427.46	15	0	-4	7.32
4	23	427.46	15	0	-4	7.31
4	23	427.46	15	0	-4	7.31
4	23	427.46	15	0	-4	7.31
4	23	427.46	15	0	-4	7.31
5	23	427.46	14	0	-4	7.30
5	23	427.46	14	0	-4	7.30
5	23	427.46	14	0	-4	7.30
5	23	427.46	14	0	-4	7.30
5	23	427.46	14	0	-4	7.30
5	23	427.46	14	0	-4	7.30
5	23	427.46	14	0	-4	7.30
5	23	427.46	14	0	-4	7.31
5	23	427.46	14	0	-4	7.31
5	23	427.46	14	0	-4	7.31
5	23	427.46	14	0	-4	7.31
5	23	427.46	14	0	-4	7.31
5	23	427.46	14	0	-4	7.31
5	23	427.46	14	0	-4	7.31
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	13	0	-4	7.33
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
5	23	427.46	13	0	-4	7.34
5	23	427.46	13	0	-4	7.34
5	23	427.46	13	0	-4	7.34
5	23	427.46	13	0	-4	7.34
5	23	427.46	13	0	-4	7.34
5	23	427.46	13	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
0	0	0.00	0	0	-4	7.33
0	0	0.00	0	0	-4	7.33
0	0	0.00	0	0	-4	7.33
0	3	427.20	6	0	-4	7.33
0	3	427.20	6	0	-4	7.33
0	3	427.20	6	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
5	23	427.46	14	0	-4	7.31
5	23	427.46	14	0	-4	7.31
5	23	427.46	14	0	-4	7.31
5	23	427.46	14	0	-4	7.31
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
4	23	427.46	15	0	-4	7.31
4	23	427.46	15	0	-4	7.31
4	23	427.46	15	0	-4	7.31
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
0	3	395.20	6	0	-4	7.35
0	3	395.20	6	0	-4	7.35
0	3	395.20	6	0	-4	7.35
0	3	395.20	6	0	-4	7.35
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
0	0	0.00	0	0	32636	0.00
0	0	0.00	0	0	32636	0.00
0	0	0.00	0	0	32636	0.00
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
5	23	427.46	14	0	-4	7.36
4	23	427.46	15	0	-4	7.35
4	23	427.46	15	0	-4	7.35
4	23	427.46	15	0	-4	7.35
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.35
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.35
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.32
5	23	427.46	14	0	-4	7.30
5	23	427.46	14	0	-4	7.30
5	23	427.46	14	0	-4	7.30
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.29
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
5	23	427.46	14	0	-4	7.33
4	23	427.46	15	0	-4	7.33
4	23	427.46	15	0	-4	7.33
4	23	427.46	15	0	-4	7.33
4	23	427.46	15	0	-4	7.33
4	23	427.46	15	0	-4	7.33
4	23	427.46	15	0	-4	7.33
4	23	427.46	15	0	-4	7.33
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	3	0.00	7	0	32636	0.00
4	3	0.00	7	0	32636	0.00
4	3	0.00	7	0	32636	0.00
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
5	23	427.46	14	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.46	15	0	-4	7.34
4	23	427.07	15	0	-4	7.34
4	23	427.07	15	0	-4	7.34
4	23	427.07	15	0	-4	7.34
4	23	0.00	15	0	32636	0.00
4	23	0.00	15	0	32636	0.00
4	23	0.00	15	0	32636	0.00
4	23	0.00	15	0	32636	0.00
0	0	0.00	7	0	-4	7.33
0	0	0.00	7	0	-4	7.33
0	0	0.00	7	0	-4	7.33
4	23	427.07	15	0	-4	7.32
4	23	427.07	15	0	-4	7.32
5	23	427.07	14	0	-4	7.29
5	23	427.07	14	0	-4	7.29
5	23	427.07	14	0	-4	7.29
5	23	427.07	14	0	-4	7.29
5	23	427.07	14	0	-4	7.29
5	23	427.07	14	0	-4	7.29
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.30
5	23	427.07	14	0	-4	7.32
5	23	427.07	14	0	-4	7.32
5	23	427.07	14	0	-4	7.32
5	23	427.07	14	0	-4	7.31
5	23	427.07	14	0	-4	7.31
5	23	427.07	14	0	-4	7.31
5	23	427.07	13	0	-4	7.30
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
5	23	427.07	13	0	-4	7.30
5	23	427.07	13	0	-4	7.30
5	23	427.07	13	0	-4	7.30
5	23	427.07	13	0	-4	7.30
0	3	0.00	6	0	64	0.00
0	3	0.00	6	0	64	0.00
0	3	0.00	6	0	64	0.00
5	23	427.07	14	0	-4	7.28
5	23	427.07	14	0	-4	7.28
5	23	427.07	14	0	-4	7.28
5	23	427.07	14	0	-4	7.27
5	23	427.07	14	0	-4	7.27
5	23	427.07	14	0	-4	7.27
5	23	427.07	14	0	-4	7.27
5	23	427.07	14	0	-4	7.26
5	23	427.07	14	0	-4	7.26
5	23	427.07	14	0	-4	7.26
5	23	426.81	14	0	-4	7.25
5	23	426.81	14	0	-4	7.25
5	23	426.81	14	0	-4	7.25
5	23	426.81	14	0	-4	7.25
5	23	426.81	14	0	-4	7.26
5	23	426.81	14	0	-4	7.26
5	23	426.81	14	0	-4	7.26
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.32
5	23	426.81	14	0	-4	7.33
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
5	23	426.81	14	0	-4	7.34
5	23	426.81	14	0	-4	7.34
5	23	426.81	14	0	-4	7.34
5	23	426.81	14	0	-4	7.34
5	23	426.81	14	0	-4	7.34
5	23	426.81	14	0	-4	7.34
0	3	392.27	7	0	-4	7.34
0	3	392.27	7	0	-4	7.34
0	3	392.27	7	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.34
4	23	426.81	15	0	-4	7.32
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
4	23	426.81	15	0	-4	7.31
4	23	426.81	15	0	-4	7.31
4	23	426.81	15	0	-4	7.31
4	23	0.00	7	0	32636	0.00
4	23	0.00	7	0	32636	0.00
4	23	0.00	7	0	32636	0.00
4	23	0.00	7	0	32636	0.00
