Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.44
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
3	22	417.17	15	0	-2	7.45
0	0	0.00	0	0	32638	7.46
0	0	0.00	0	0	32638	7.46
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.48
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.47
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.46
1	2	0.00	0	0	0	0.00
1	2	0.00	0	0	0	0.00
1	2	0.00	0	0	0	0.00
1	2	0.00	0	0	0	0.00
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.46
3	22	415.85	15	0	-2	7.45
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
1	2	0.00	7	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
1	2	0.00	7	0	0	0.00
1	2	0.00	7	0	0	0.00
1	2	0.00	7	0	0	0.00
3	22	414.28	15	0	-2	7.44
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
3	22	414.28	15	0	-2	7.44
3	22	414.28	15	0	-2	7.44
3	22	414.28	15	0	-2	7.44
3	22	414.28	15	0	-2	7.44
3	22	414.28	15	0	-2	7.44
3	22	414.28	15	0	-2	7.44
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.45
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.47
3	22	414.28	15	0	-2	7.47
0	0	0.00	0	0	0	0.00
3	22	414.28	15	0	-2	7.47
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.28	15	0	-2	7.46
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.43
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.44
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.45
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
3	22	414.15	15	0	-2	7.46
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
