Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
0	0	0.00	0	-1	-2	7.64
0	0	0.00	0	-1	-2	7.64
0	0	0.00	0	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
0	0	0.00	0	-1	32766	7.63
0	0	0.00	0	-1	32766	7.63
0	0	0.00	0	-1	32766	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	60	-1	-2	7.63
-21	22	420.01	61	-1	-2	7.64
-21	22	420.01	61	-1	-2	7.64
-21	22	420.01	61	-1	-2	7.64
-21	22	420.01	61	-1	-2	7.64
-21	22	420.01	61	-1	-2	7.64
-21	22	420.01	61	-1	-2	7.65
-21	22	420.01	61	-1	-2	7.65
-21	22	420.01	61	-1	-2	7.65
-21	22	420.01	61	-1	-2	7.65
-21	22	420.01	61	-1	-2	7.65
-21	22	420.01	61	-1	-2	7.66
-21	22	420.01	61	-1	-2	7.66
-21	22	420.01	61	-1	-2	7.66
-21	22	420.01	61	-1	-2	7.66
-21	22	420.01	61	-1	-2	0.00
-21	22	420.01	61	-1	-2	0.00
-21	22	420.01	61	-1	-2	0.00
-21	22	420.01	60	-1	-2	7.65
-21	22	420.01	60	-1	-2	7.65
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
-21	22	420.01	61	-1	-2	7.64
-21	22	420.01	61	-1	-2	7.64
-21	22	420.01	61	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
-21	22	420.01	60	-1	-2	7.64
