Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
31	22	420.15	326	0	-2	7.50
31	22	420.15	326	0	-2	7.50
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
31	22	420.15	326	0	-2	7.50
31	22	420.15	326	0	-2	7.50
31	22	420.15	326	0	-2	7.50
31	22	420.15	325	0	-2	7.49
31	22	420.15	325	0	-2	7.49
31	22	420.15	325	0	-2	7.49
31	22	420.15	326	0	-2	7.50
31	22	420.15	326	0	-2	7.50
31	22	420.15	326	0	-2	7.50
31	22	420.15	326	0	-2	7.50
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	325	0	-2	7.50
31	22	420.15	325	0	-2	7.50
31	22	420.15	325	0	-2	7.50
31	22	420.15	325	0	-2	7.50
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.49
31	22	420.15	326	0	-2	7.50
31	22	420.15	326	0	-2	7.50
31	22	420.15	326	0	-2	7.50
31	22	420.15	326	0	-2	7.50
0	0	0.00	0	0	32638	0.00
