Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
8	22	423.41	6	0	-2	7.52
8	22	423.41	6	0	-2	7.52
8	22	423.41	6	0	-2	7.52
8	22	423.41	6	0	-2	7.52
8	22	423.41	6	0	-2	7.52
8	22	423.41	6	0	-2	7.52
0	2	0.00	0	0	0	0.00
0	2	0.00	0	0	0	0.00
0	2	0.00	0	0	0	0.00
8	22	423.41	6	0	-2	7.52
8	22	423.41	6	0	-2	7.52
8	22	423.41	6	0	-2	7.52
9	22	423.41	5	0	-2	7.53
9	22	423.41	5	0	-2	7.53
9	22	423.41	5	0	-2	7.53
0	2	423.41	0	0	-2	7.52
0	2	423.41	0	0	-2	7.52
0	2	423.41	0	0	-2	7.52
8	22	423.41	6	0	-2	7.52
8	22	423.41	6	0	-2	7.52
8	22	423.41	6	0	-2	7.52
9	22	423.41	5	0	-2	7.52
9	22	423.41	5	0	-2	7.52
9	22	423.41	5	0	-2	7.52
9	22	423.41	5	0	-2	7.52
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
9	22	423.41	5	0	-2	7.49
0	2	0.00	0	0	0	0.00
0	2	0.00	0	0	0	0.00
0	2	0.00	0	0	0	0.00
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.50
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
9	22	423.41	5	0	-2	7.51
