Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
35	22	423.41	318	0	-2	7.55
35	22	423.41	318	0	-2	7.55
35	22	423.41	318	0	-2	7.55
35	22	423.41	318	0	-2	7.55
35	22	423.41	318	0	-2	7.55
35	22	423.41	318	0	-2	7.55
35	22	423.41	318	0	-2	7.55
35	22	423.41	318	0	-2	7.55
35	22	423.41	318	0	-2	7.55
35	22	423.41	318	0	-2	7.55
35	22	423.41	318	0	-2	7.54
35	22	423.41	318	0	-2	7.54
35	22	423.41	318	0	-2	7.54
35	22	423.41	318	0	-2	7.54
35	22	423.41	318	0	-2	7.54
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.52
35	22	423.41	318	0	-2	7.52
35	22	423.41	318	0	-2	7.52
35	22	423.41	318	0	-2	7.51
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	0.00
35	22	423.41	318	0	-2	0.00
35	22	423.41	318	0	-2	0.00
1	2	0.00	0	0	0	0.00
1	2	0.00	0	0	0	0.00
1	2	0.00	0	0	0	0.00
1	2	0.00	0	0	0	0.00
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.50
35	22	423.41	318	0	-2	7.50
35	22	423.41	318	0	-2	7.51
1	2	0.00	30	0	0	0.00
1	2	0.00	30	0	0	0.00
1	2	0.00	30	0	0	0.00
1	2	0.00	30	0	0	0.00
35	22	423.41	318	0	-2	7.50
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
35	22	423.41	318	0	-2	7.50
35	22	423.41	318	0	-2	7.50
35	22	423.41	318	0	-2	7.50
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.52
35	22	423.41	318	0	-2	7.52
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	318	0	-2	7.51
35	22	423.41	319	0	-2	7.51
35	22	423.41	319	0	-2	7.51
35	22	423.41	319	0	-2	7.51
35	22	423.41	319	0	-2	7.51
35	22	423.41	319	0	-2	7.51
35	22	423.41	319	0	-2	7.51
35	22	423.41	319	0	-2	7.51
35	22	423.41	319	0	-2	7.50
35	22	423.41	319	0	-2	7.50
35	22	423.41	319	0	-2	7.50
35	22	423.41	318	0	-2	7.50
35	22	423.41	318	0	-2	7.50
35	22	423.41	318	0	-2	7.50
35	22	423.41	318	0	-2	7.50
35	22	423.41	319	0	-2	7.49
35	22	423.41	319	0	-2	7.49
35	22	423.41	319	0	-2	7.49
35	22	423.41	319	0	-2	7.50
35	22	423.41	319	0	-2	7.50
35	22	423.41	318	0	-2	7.54
35	22	423.41	318	0	-2	7.54
35	22	423.41	318	0	-2	7.54
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.53
35	22	423.41	318	0	-2	7.52
35	22	423.41	318	0	-2	7.52
35	22	423.41	318	0	-2	7.52
35	22	423.41	318	0	-2	7.52
35	22	423.41	318	0	-2	7.52
35	22	423.80	318	0	-2	7.51
35	22	423.80	318	0	-2	7.51
35	22	423.80	318	0	-2	7.51
35	22	423.80	318	0	-2	7.51
1	2	0.00	0	0	0	0.00
1	2	0.00	0	0	0	0.00
1	2	0.00	0	0	0	0.00
35	22	423.80	318	0	-2	7.48
35	22	423.80	318	0	-2	7.48
35	22	423.80	318	0	-2	7.48
35	22	423.80	318	0	-2	7.48
35	22	423.80	318	0	-2	7.48
35	22	423.80	318	0	-2	7.48
35	22	423.80	318	0	-2	7.48
36	22	423.80	317	0	-2	7.48
36	22	423.80	317	0	-2	7.48
36	22	423.80	317	0	-2	7.48
36	22	423.80	317	0	-2	7.48
35	22	423.80	318	0	-2	7.46
35	22	423.80	318	0	-2	7.46
35	22	423.80	318	0	-2	7.46
35	22	423.80	318	0	-2	7.46
35	22	423.80	318	0	-2	7.46
35	22	423.80	318	0	-2	7.46
35	22	423.80	318	0	-2	7.46
35	22	423.80	318	0	-2	7.45
35	22	423.80	318	0	-2	7.45
35	22	423.80	318	0	-2	7.45
35	22	423.80	318	0	-2	7.45
35	22	423.80	318	0	-2	7.45
35	22	423.80	318	0	-2	7.45
35	22	423.80	318	0	-2	7.44
35	22	423.80	318	0	-2	7.44
35	22	423.80	318	0	-2	7.44
35	22	423.80	318	0	-2	7.44
35	22	423.80	318	0	-2	7.44
35	22	423.80	318	0	-2	7.44
35	22	423.80	318	0	-2	7.44
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
36	22	423.41	317	0	-2	7.47
36	22	423.41	317	0	-2	7.47
36	22	423.41	317	0	-2	7.47
36	22	0.00	317	0	32638	0.00
36	22	0.00	317	0	32638	0.00
36	22	0.00	317	0	32638	0.00
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.48
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
36	22	423.41	317	0	-2	7.49
36	22	423.41	317	0	-2	7.49
36	22	423.41	317	0	-2	7.49
36	22	423.41	317	0	-2	7.49
36	22	423.41	317	0	-2	7.49
36	22	423.41	317	0	-2	7.49
36	22	423.41	317	0	-2	7.49
36	22	423.41	317	0	-2	7.49
36	22	423.41	317	0	-2	7.49
36	22	423.41	317	0	-2	7.49
36	22	423.41	317	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.49
35	22	423.41	318	0	-2	7.50
35	22	423.41	318	0	-2	7.50
35	22	423.41	318	0	-2	7.50
21	22	423.41	343	0	-1	7.44
21	22	423.41	343	0	-1	7.44
21	22	423.41	343	0	-1	7.44
21	22	423.41	343	0	-1	7.44
0	0	0.00	0	0	-129	0.00
0	0	0.00	0	0	-129	0.00
0	0	0.00	0	0	-129	0.00
0	0	0.00	0	0	-129	0.00
21	22	423.41	344	0	-1	7.44
21	22	423.41	344	0	-1	7.44
21	22	423.41	344	0	-1	7.44
21	22	423.41	344	0	-1	7.45
21	22	423.41	344	0	-1	7.45
21	22	423.41	344	0	-1	7.45
21	22	423.41	344	0	-1	7.45
21	22	423.80	344	0	-1	7.46
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
21	22	423.80	344	0	-1	7.46
21	22	423.80	344	0	-1	7.46
21	22	423.80	344	0	-1	7.46
