Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.43
-6	21	425.15	32	-3	-4	7.43
-6	21	425.15	32	-3	-4	7.43
-6	21	425.15	32	-3	-4	7.43
-6	21	425.15	32	-3	-4	7.43
-6	21	425.15	32	-3	-4	7.43
-6	21	425.15	32	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
-5	21	425.15	31	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
-6	21	425.15	32	-3	-4	0.00
-6	21	425.15	32	-3	-4	0.00
-6	21	425.15	32	-3	-4	0.00
-6	21	425.15	32	-3	-4	7.43
-6	21	425.15	32	-3	-4	7.43
-6	21	425.15	32	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
-5	21	425.15	31	-3	-4	7.43
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.43
-6	21	425.15	32	-3	-4	7.43
-6	21	425.15	32	-3	-4	7.43
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
-6	21	425.15	32	-3	-4	7.44
