Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	30	475.63	30	0	0	7.21
0	30	475.63	30	0	0	7.23
0	30	475.63	30	0	0	7.25
0	30	475.63	30	0	0	7.25
0	30	475.63	30	0	0	7.25
0	30	475.63	30	0	0	7.24
0	30	475.63	30	0	0	7.23
0	30	475.63	30	0	0	7.21
0	30	475.63	29	0	0	7.19
0	30	475.63	29	0	0	7.16
0	30	475.63	30	0	0	7.13
0	30	475.63	30	0	0	7.10
0	30	475.63	30	0	0	7.05
0	30	475.63	31	0	0	7.01
0	30	475.63	31	0	0	6.95
0	30	475.63	30	0	0	6.90
0	30	475.63	30	0	0	6.84
0	30	475.63	30	0	0	6.78
0	30	475.63	29	0	0	6.71
0	30	475.63	29	0	0	6.64
0	30	475.63	29	0	0	6.64
0	30	475.63	29	0	0	6.56
0	30	475.63	29	0	0	6.48
0	30	475.63	29	0	0	6.41
1	30	475.63	28	0	0	6.34
0	30	475.63	29	0	0	6.27
0	30	475.63	29	0	0	6.21
0	30	475.63	29	0	0	6.15
0	30	475.63	29	0	0	6.09
1	30	475.63	28	0	0	6.03
1	30	475.63	28	0	0	5.98
1	30	475.63	28	0	0	5.92
1	30	475.63	28	0	0	5.87
1	30	475.63	28	0	0	5.83
1	30	475.63	27	0	0	5.79
1	30	475.63	27	0	0	5.75
1	30	475.63	27	0	0	5.71
1	30	475.63	27	0	0	5.67
1	30	475.63	27	0	0	5.64
1	30	475.63	27	0	0	5.60
1	30	475.63	27	0	0	5.57
1	30	475.63	28	0	0	5.57
1	30	475.63	28	0	0	5.54
1	30	475.63	28	0	0	5.51
1	30	475.63	28	0	0	5.49
1	30	475.63	27	0	0	5.47
1	30	475.63	27	0	0	5.45
1	30	475.63	27	0	0	5.42
1	30	475.63	27	0	0	5.41
1	30	475.63	27	0	0	5.39
1	30	475.63	28	0	0	5.37
1	30	475.63	28	0	0	5.35
1	30	475.63	28	0	0	5.33
1	30	475.63	28	0	0	5.32
1	30	475.63	27	0	0	5.30
1	30	475.63	28	0	0	5.28
1	30	475.63	28	0	0	5.27
1	30	475.63	27	0	0	5.25
1	30	475.63	28	0	0	5.24
1	30	475.63	28	0	0	5.22
1	30	475.63	28	0	0	5.21
1	30	475.63	27	0	0	5.21
1	30	475.63	28	0	0	5.21
1	30	475.63	28	0	0	5.20
1	30	475.63	28	0	0	5.19
0	30	475.63	29	0	0	5.18
0	30	475.63	29	0	0	5.17
0	30	475.63	29	0	0	5.16
0	30	475.63	30	0	0	5.15
0	30	475.63	29	0	0	5.14
1	30	475.63	28	0	0	5.14
1	30	475.63	28	0	0	5.13
0	30	475.63	29	0	0	5.13
0	30	475.63	30	0	0	5.13
0	30	475.63	30	0	0	5.12
0	30	475.63	30	0	0	5.11
0	30	475.63	30	0	0	5.11
0	30	475.63	29	0	0	5.11
0	30	475.63	29	0	0	5.10
0	30	475.63	29	0	0	5.09
