Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.49
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
0	2	0.00	24	0	-2	7.47
0	2	0.00	24	0	-2	7.47
0	2	0.00	24	0	-2	7.47
0	2	0.00	24	0	-2	7.47
38	22	420.82	313	0	-2	7.46
38	22	420.82	313	0	-2	7.46
38	22	420.82	313	0	-2	7.46
38	22	420.82	313	0	-2	7.46
38	22	420.82	313	0	-2	7.46
38	22	420.82	313	0	-2	7.46
38	22	420.82	313	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
2	0	0.00	0	0	0	0.00
2	0	0.00	0	0	0	0.00
2	0	0.00	0	0	0	0.00
38	22	420.82	312	0	-2	7.47
