Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
48	22	420.15	295	0	-2	7.50
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.52
47	22	420.15	296	0	-2	7.52
47	22	420.15	296	0	-2	7.52
47	22	420.15	296	0	-2	7.52
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.52
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
47	22	420.15	296	0	-2	7.51
47	22	420.15	296	0	-2	7.51
47	22	420.15	296	0	-2	7.51
47	22	420.15	296	0	-2	7.51
48	22	420.15	295	0	-2	0.00
48	22	420.15	295	0	-2	0.00
48	22	420.15	295	0	-2	0.00
48	22	0.00	295	0	32638	0.00
48	22	0.00	295	0	32638	0.00
48	22	0.00	295	0	32638	0.00
47	22	420.15	296	0	-2	7.51
47	22	420.15	296	0	-2	7.51
47	22	420.15	296	0	-2	7.51
47	22	420.15	296	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.15	295	0	-2	7.51
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
0	0	0.00	0	0	32638	0.00
0	0	0.00	0	0	32638	0.00
0	0	0.00	0	0	32638	0.00
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
48	22	420.55	295	0	-2	7.49
47	22	420.55	296	0	-2	7.50
47	22	420.55	296	0	-2	7.50
0	0	0.00	0	0	0	0.00
48	22	420.55	295	0	-2	7.50
48	22	420.55	295	0	-2	7.50
48	22	420.55	295	0	-2	7.50
48	22	420.55	295	0	-2	7.50
48	22	420.55	295	0	-2	7.50
48	22	420.55	295	0	-2	7.50
48	22	420.55	295	0	-2	7.50
48	22	420.55	295	0	-2	7.50
48	22	420.55	295	0	-2	7.50
48	22	420.55	295	0	-2	7.50
47	22	420.55	296	0	-2	7.49
47	22	420.55	296	0	-2	7.49
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
47	22	420.55	296	0	-2	7.49
47	22	420.55	296	0	-2	7.49
47	22	420.55	296	0	-2	7.49
4	0	0.00	0	0	7936	0.00
4	0	0.00	0	0	7936	0.00
4	0	0.00	0	0	7936	0.00
4	0	0.00	0	0	7936	0.00
16	2	420.55	295	0	-2	7.48
47	22	420.55	296	0	-2	7.48
47	22	420.55	296	0	-2	7.48
47	22	420.55	296	0	-2	7.48
47	22	420.55	296	0	-2	7.48
47	22	420.55	296	0	-2	7.48
47	22	420.55	296	0	-2	7.48
47	22	420.55	296	0	-2	7.48
47	22	420.55	296	0	-2	7.48
47	22	420.55	296	0	-2	7.48
47	22	420.55	296	0	-2	7.48
48	22	420.55	295	0	-2	7.48
48	22	420.55	295	0	-2	7.48
48	22	420.55	295	0	-2	7.48
48	22	420.55	295	0	-2	7.47
48	22	420.55	295	0	-2	7.47
48	22	420.55	295	0	-2	7.47
48	22	420.55	295	0	-2	7.47
47	22	420.55	296	0	-2	7.47
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
48	22	420.55	295	0	-2	7.47
0	0	0.00	0	0	0	0.00
