Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
-6	0	0.00	12	0	0	1.49
-6	0	0.00	11	0	0	2.52
-6	0	0.00	11	0	0	3.39
-6	0	0.00	11	0	-1	4.15
-5	0	0.00	10	0	-1	4.82
-5	0	0.00	10	0	-1	5.43
-5	0	0.00	9	0	-1	6.01
-5	0	0.00	10	0	-1	6.56
-5	0	0.00	9	0	-1	7.10
-5	0	0.00	9	0	-2	7.63
-5	0	0.00	9	0	-2	8.15
-5	0	0.00	9	0	-2	8.68
-4	0	0.00	8	-1	-2	9.20
-4	0	0.00	8	-1	-2	9.73
-4	0	0.00	8	-1	-2	10.25
-4	0	0.00	8	-1	-2	10.77
-3	0	0.00	7	-1	-2	11.29
-3	0	0.00	7	-1	-2	11.82
-3	0	0.00	7	-1	-2	12.34
-3	0	0.00	7	-1	-2	12.86
-3	0	0.00	7	-1	-2	12.86
-4	0	0.00	8	-1	-2	11.90
-4	0	0.00	8	-1	-2	11.38
-4	0	0.00	8	-1	-2	11.03
-3	0	0.00	7	-1	-2	10.79
-3	0	0.00	7	-1	-2	10.64
-3	0	0.00	7	-1	-2	10.55
-4	0	0.00	8	-1	-2	10.50
-4	0	0.00	8	-1	-2	10.46
-4	0	0.00	8	-1	-2	10.45
-4	0	0.00	8	-1	-2	10.44
-4	0	0.00	8	-1	-2	10.43
-3	0	0.00	7	-1	-2	10.43
-3	0	0.00	7	-1	-2	10.42
-3	0	0.00	7	-1	-3	10.42
-3	0	0.00	7	-1	-3	10.42
-3	0	0.00	7	-1	-3	10.42
-3	0	0.00	7	-1	-3	10.42
-3	0	0.00	7	-1	-3	10.41
-3	0	0.00	7	-1	-3	10.41
-3	0	0.00	7	-1	-3	10.40
-3	0	0.00	7	-1	-3	10.40
11	28	464.56	7	-1	-3	10.40
11	28	464.56	7	-1	-3	10.40
11	28	464.56	7	-1	-3	10.39
11	28	464.56	7	-1	-3	10.36
11	28	464.56	7	-1	-3	10.33
11	28	464.56	7	-1	-3	10.30
11	28	464.56	7	-1	-3	10.26
11	28	464.56	8	-1	-3	10.21
11	28	464.56	7	-1	-3	10.16
11	28	464.56	7	-1	-3	10.10
11	28	464.56	7	-1	-3	10.03
11	28	464.56	8	-1	-3	9.96
11	28	464.56	7	-1	-3	9.89
11	28	464.56	7	-1	-3	9.80
11	28	464.56	8	-1	-3	9.71
11	28	464.56	8	-1	-3	9.61
11	28	464.56	8	-1	-3	9.51
11	28	464.56	8	-1	-3	9.41
11	28	464.56	8	-1	-3	9.30
11	28	464.56	8	-1	-3	9.18
11	28	464.56	8	-1	-3	9.18
11	28	464.56	7	-1	-3	9.05
11	28	464.56	7	-1	-3	8.93
11	28	464.56	8	-1	-3	8.80
11	28	464.56	8	-1	-3	8.68
