Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
38	22	420.82	312	0	-2	7.48
38	22	420.82	312	0	-2	7.48
38	22	420.82	312	0	-2	7.48
38	22	420.82	312	0	-2	7.48
38	22	420.82	312	0	-2	7.48
38	22	420.82	312	0	-2	7.48
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.47
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
39	22	420.82	311	0	-2	7.46
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
38	22	420.82	312	0	-2	7.45
38	22	420.82	312	0	-2	7.45
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
38	22	420.82	312	0	-2	7.46
39	22	420.82	311	0	-2	7.45
39	22	420.82	311	0	-2	7.45
39	22	420.82	311	0	-2	7.45
39	22	420.82	311	0	-2	7.45
39	22	420.82	311	0	-2	7.45
39	22	420.82	311	0	-2	7.45
39	22	420.82	311	0	-2	7.45
39	22	420.82	311	0	-2	7.44
39	22	420.82	311	0	-2	7.44
39	22	420.82	311	0	-2	7.44
39	22	420.82	311	0	-2	7.44
39	22	420.82	311	0	-2	7.44
39	22	420.82	311	0	-2	7.44
39	22	420.82	311	0	-2	7.44
39	22	420.82	311	0	-2	7.43
39	22	420.82	311	0	-2	7.43
39	22	420.82	311	0	-2	7.43
39	22	420.82	311	0	-2	7.43
39	22	420.82	311	0	-2	7.43
39	22	420.82	311	0	-2	7.43
39	22	420.82	311	0	-2	7.43
39	22	420.82	311	0	-2	7.43
39	22	420.82	311	0	-2	7.43
39	22	420.82	311	0	-2	7.43
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.42
2	2	420.26	24	0	-2	7.42
2	2	420.26	24	0	-2	7.42
2	2	420.26	24	0	-2	7.42
2	2	420.26	24	0	-2	7.42
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.43
38	22	420.82	312	0	-2	7.43
38	22	420.82	312	0	-2	7.43
38	22	420.82	312	0	-2	7.43
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.42
38	22	420.82	312	0	-2	7.42
39	22	420.82	311	0	-2	7.44
39	22	420.82	311	0	-2	7.44
39	22	420.82	311	0	-2	7.45
39	22	420.82	311	0	-2	7.45
39	22	420.82	311	0	-2	7.45
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
39	22	420.82	311	0	-2	7.46
3	2	0.00	0	0	0	0.00
3	2	0.00	0	0	0	0.00
3	2	0.00	0	0	0	0.00
39	22	0.00	311	0	32638	0.00
39	22	0.00	311	0	32638	0.00
39	22	0.00	311	0	32638	0.00
39	22	0.00	311	0	32638	0.00
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.47
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
39	22	420.82	311	0	-2	7.48
