Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
3	29	473.57	23	-3	-1	7.72
3	29	473.57	23	-3	-1	7.72
3	29	473.57	23	-3	-1	7.72
3	29	473.57	23	-3	-1	7.72
3	29	473.57	23	-3	-1	7.72
3	29	473.57	23	-3	-1	7.72
3	29	473.57	23	-3	-1	7.72
3	29	473.57	23	-3	-1	7.72
3	29	473.57	23	-3	-1	7.72
3	29	473.57	23	-3	-1	7.72
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	22	-3	-1	7.71
3	29	473.24	23	-3	-1	7.71
3	29	473.24	23	-3	-1	7.71
3	29	473.24	23	-3	-1	7.71
3	29	473.24	23	-3	-1	7.71
3	29	473.24	23	-3	-1	7.71
3	29	473.24	23	-3	-1	7.71
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	23	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	473.24	22	-3	-1	7.72
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	0.00	23	-4	-1	0.00
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	473.24	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.73
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	23	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
3	29	472.87	22	-3	-1	7.74
