Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
1	30	477.05	28	0	0	0.00
1	30	477.05	28	0	0	7.32
1	30	477.05	28	0	0	7.32
1	30	477.05	28	0	0	7.32
1	30	477.05	28	0	0	7.31
1	30	477.41	28	0	0	7.29
1	30	477.41	28	0	0	7.27
1	30	477.41	28	0	0	7.27
1	30	477.41	28	0	0	7.27
1	30	477.41	27	0	0	7.25
1	30	477.41	27	0	0	7.22
1	30	477.41	28	0	0	7.19
1	30	477.41	28	0	0	7.16
1	30	477.41	28	0	0	7.16
1	30	477.41	28	0	0	7.12
1	30	477.41	27	0	0	7.07
1	30	477.41	27	0	0	7.02
1	30	477.41	28	0	0	6.97
1	30	477.41	28	0	0	6.92
1	30	477.41	28	0	0	6.85
1	30	477.41	27	0	0	6.79
1	30	477.41	27	0	0	6.79
1	30	477.41	27	0	0	6.79
1	30	477.41	27	0	0	6.74
1	30	477.41	27	0	0	6.68
1	30	477.41	27	0	0	6.63
1	30	477.41	28	0	0	6.57
1	30	477.41	28	0	0	6.52
1	30	477.41	28	0	0	6.46
1	30	477.41	28	0	0	6.41
1	30	477.41	28	0	0	6.36
1	30	477.41	28	0	0	6.32
1	30	477.41	28	0	0	6.27
1	30	477.41	28	0	0	6.22
1	30	477.41	28	0	0	6.22
1	30	477.41	28	0	0	6.22
1	30	477.41	28	0	0	6.18
1	30	477.41	28	0	0	6.15
0	30	477.41	29	0	0	6.15
1	30	477.41	28	0	0	6.11
1	30	477.41	28	0	0	6.08
1	30	477.41	28	0	0	6.05
1	30	477.41	28	0	0	6.05
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
1	30	477.41	28	0	0	6.04
1	30	477.41	27	0	0	6.02
1	30	477.41	27	0	0	6.00
2	30	477.41	26	0	0	5.99
2	30	477.41	26	0	0	5.99
0	14	477.13	12	0	0	5.09
1	30	477.41	28	0	0	5.10
1	30	477.41	28	0	0	5.12
1	30	477.41	28	0	0	5.13
1	30	477.41	28	0	0	5.14
1	30	477.41	27	0	0	5.16
1	30	477.41	28	0	0	5.18
1	30	477.41	28	0	0	5.19
1	30	477.41	28	0	0	5.21
