Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
0	30	473.82	30	0	0	7.25
0	30	473.82	30	0	0	7.26
0	30	473.82	30	0	0	7.26
0	30	473.82	30	0	0	7.27
0	30	473.82	30	0	0	7.26
0	30	473.82	30	0	0	7.24
0	30	473.82	30	0	0	7.22
0	30	473.82	30	0	0	7.20
0	30	473.46	31	0	0	7.17
0	30	473.46	30	0	0	7.13
0	30	473.46	30	0	0	7.10
0	30	473.46	31	0	0	7.06
0	30	473.46	30	0	0	7.01
0	30	473.46	30	0	0	6.96
0	30	473.46	30	0	0	6.96
0	30	473.46	30	0	0	6.90
0	30	473.46	30	0	0	6.84
0	30	473.46	30	0	0	6.77
0	30	473.46	29	0	0	6.71
0	30	473.46	29	0	0	6.64
0	30	473.46	29	0	0	6.57
0	30	473.46	29	0	0	6.50
0	30	473.46	29	0	0	6.43
0	30	473.46	30	0	0	6.37
0	30	473.46	29	0	0	6.30
0	30	473.46	30	0	0	6.23
0	30	473.46	29	0	0	6.17
0	30	473.46	29	0	0	6.11
0	30	473.46	29	0	0	6.06
0	30	473.46	29	0	0	6.00
0	30	473.46	29	0	0	5.95
1	30	473.46	28	0	0	5.90
0	30	473.46	29	0	0	5.85
1	30	473.46	28	0	0	5.80
1	30	473.46	28	0	0	5.75
1	30	473.46	28	0	0	5.75
1	30	473.46	28	0	0	5.71
1	30	473.46	28	0	0	5.67
1	30	473.46	28	0	0	5.63
0	30	473.46	29	0	0	5.60
1	30	473.46	28	0	0	5.57
0	30	473.46	29	0	0	5.54
0	30	473.46	29	0	0	5.50
0	30	473.46	29	0	0	5.47
1	30	473.46	28	0	0	5.44
1	30	473.46	28	0	0	5.42
1	30	473.46	28	0	0	5.40
0	30	473.46	29	0	0	5.37
0	30	473.46	29	0	0	5.35
0	30	473.46	29	0	0	5.33
0	30	473.46	29	0	0	5.32
0	30	473.46	29	0	0	5.30
0	30	473.46	29	0	0	5.28
0	30	473.46	29	0	0	5.26
0	30	473.46	29	0	0	5.25
0	30	473.46	30	0	0	5.24
0	30	473.46	30	0	0	5.24
0	30	473.46	30	0	0	5.22
0	30	473.46	30	0	0	5.21
0	30	473.46	30	0	0	5.21
0	30	473.46	29	0	0	5.20
0	30	473.46	29	0	0	5.18
0	30	473.46	30	0	0	5.17
0	30	473.46	30	0	0	5.17
0	30	473.46	30	0	0	5.17
0	30	473.46	29	0	0	5.16
0	30	473.46	29	0	0	5.15
0	30	473.46	30	0	0	5.14
0	30	473.46	30	0	0	5.14
0	30	473.46	30	0	0	5.13
0	30	473.46	29	0	0	5.13
0	30	473.46	30	0	0	5.12
0	30	473.46	30	0	0	5.11
0	30	473.46	30	0	0	5.11
0	30	473.46	30	0	0	5.10
0	30	473.46	30	0	0	5.10
0	30	473.46	30	0	0	5.09
0	30	473.46	30	0	0	5.09
0	30	473.46	30	0	0	5.09
0	30	473.46	30	0	0	5.08
0	30	473.46	30	0	0	5.07
0	30	473.46	30	0	0	5.06
0	30	473.46	30	0	0	5.05
0	30	473.46	30	0	0	5.05
0	30	473.46	31	0	0	5.04
0	30	473.46	31	0	0	5.03
0	30	473.46	30	0	0	5.02
0	30	473.46	30	0	0	5.01
0	30	473.46	30	0	0	5.01
0	30	473.46	30	0	0	5.00
0	30	473.46	30	0	0	4.99
0	30	473.46	29	0	0	4.99
0	30	473.46	29	0	0	4.98
0	30	473.46	29	0	0	4.98
1	30	473.46	28	0	0	4.97
1	30	473.46	28	0	0	4.97
0	30	473.46	29	0	0	4.97
1	30	473.46	28	0	0	4.97
0	30	473.46	29	0	0	4.97
0	30	473.46	29	0	0	4.96
1	30	473.46	28	0	0	4.96
1	30	473.46	28	0	0	4.97
1	30	473.46	28	0	0	4.97
1	30	473.46	28	0	0	4.97
1	30	473.46	28	0	0	4.97
1	30	473.46	28	0	0	4.97
1	30	473.46	28	0	0	4.98
1	30	473.46	28	0	0	4.98
0	30	473.46	29	0	0	4.98
0	30	473.46	29	0	0	4.98
0	30	473.46	29	0	0	4.98
1	30	473.46	28	0	0	4.98
0	30	473.46	29	0	0	4.98
0	30	473.46	29	0	0	4.98
0	30	473.46	29	0	0	4.99
0	30	473.46	29	0	0	4.99
0	30	473.46	29	0	0	4.99
0	30	473.46	29	0	0	4.98
1	30	473.46	28	0	0	4.98
0	30	473.46	29	0	0	4.98
1	30	473.46	28	0	0	4.98
1	30	473.46	28	0	0	4.99
1	30	473.46	28	0	0	4.98
0	30	473.46	29	0	0	4.98
1	30	473.46	28	0	0	4.99
0	30	473.46	29	0	0	4.99
0	30	473.46	29	0	0	4.99
0	30	473.46	29	0	0	4.98
0	30	473.46	30	0	0	4.98
0	30	473.46	31	0	0	4.99
0	30	473.46	31	0	0	4.99
0	30	473.46	30	0	0	4.99
0	30	473.46	30	0	0	4.99
0	30	473.46	30	0	0	4.98
0	30	473.46	29	0	0	4.99
0	30	473.46	29	0	0	4.99
