Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
-92	29	477.29	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-128	12	0.00	64	0	-129	0.00
-128	12	0.00	64	0	-129	0.00
-128	12	0.00	64	0	-129	0.00
-128	12	0.00	64	0	-129	0.00
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	0.00
-92	29	476.93	196	0	-1	0.00
-92	29	476.93	196	0	-1	0.00
-92	29	0.00	196	0	-129	0.00
-92	29	0.00	196	0	-129	0.00
-92	29	0.00	196	0	-129	0.00
-92	29	0.00	196	0	-129	0.00
32512	12	0.00	64	0	0	0.00
32512	12	0.00	64	0	0	0.00
32512	12	0.00	64	0	0	0.00
-92	29	0.00	192	0	-129	0.00
-92	29	0.00	192	0	-129	0.00
-92	29	0.00	192	0	-129	0.00
-92	29	0.00	192	0	-129	0.00
-92	29	476.93	196	0	-1	7.56
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.56
-92	29	476.93	196	0	-1	7.57
-93	29	476.93	197	0	-1	7.57
-93	29	476.93	197	0	-1	7.57
-93	29	476.93	197	0	-1	7.57
-93	29	476.93	197	0	-1	7.57
-93	29	476.93	197	0	-1	7.57
-93	29	476.93	197	0	-1	7.57
-93	29	476.93	197	0	-1	7.57
-93	29	476.93	197	0	-1	7.57
-92	29	476.93	196	0	-1	7.57
-92	29	476.93	196	0	-1	7.57
-92	29	476.93	196	0	-1	7.57
-92	29	476.93	196	0	-1	7.57
