Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
28	22	421.71	331	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
0	0	0.00	0	0	0	0.00
27	22	421.71	332	0	-2	7.59
27	22	421.71	332	0	-2	7.59
27	22	421.71	332	0	-2	7.59
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.58
27	22	421.71	332	0	-2	7.57
27	22	421.71	332	0	-2	7.57
27	22	421.71	332	0	-2	7.57
27	22	421.71	332	0	-2	7.57
27	22	421.71	332	0	-2	7.57
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
27	22	421.71	332	0	-2	7.56
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
28	22	421.45	331	0	-2	7.60
28	22	421.45	331	0	-2	7.60
28	22	421.45	331	0	-2	7.60
28	22	421.45	331	0	-2	7.60
28	22	421.45	331	0	-2	7.60
28	22	421.45	331	0	-2	7.60
28	22	421.45	331	0	-2	7.59
28	22	421.45	331	0	-2	7.59
28	22	421.45	331	0	-2	7.59
28	22	421.45	331	0	-2	7.59
28	22	421.45	331	0	-2	7.59
28	22	421.45	331	0	-2	7.59
28	22	421.45	331	0	-2	7.59
28	22	421.45	331	0	-2	0.00
28	22	421.45	331	0	-2	0.00
28	22	421.45	331	0	-2	0.00
12	2	0.00	0	0	0	0.00
12	2	0.00	0	0	0	0.00
12	2	0.00	0	0	0	0.00
12	2	0.00	0	0	0	0.00
12	2	421.45	1	0	-2	7.59
12	2	421.45	1	0	-2	7.59
12	2	421.45	1	0	-2	7.59
28	22	421.45	331	0	-2	7.59
28	22	421.45	331	0	-2	7.59
28	22	421.45	331	0	-2	7.59
28	22	421.45	331	0	-2	7.59
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.59
28	22	421.84	331	0	-2	7.59
28	22	421.84	331	0	-2	7.59
28	22	421.84	331	0	-2	7.59
28	22	421.84	331	0	-2	7.59
28	22	421.84	331	0	-2	7.59
28	22	421.84	331	0	-2	7.59
28	22	421.84	331	0	-2	7.59
28	22	421.84	331	0	-2	7.59
28	22	421.84	331	0	-2	7.59
28	22	421.84	331	0	-2	7.59
28	22	421.84	330	0	-2	7.59
28	22	421.84	330	0	-2	7.59
28	22	421.84	330	0	-2	7.59
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	331	0	-2	7.60
28	22	421.84	330	0	-2	7.60
0	0	0.00	0	0	0	0.00
