Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
0	30	475.99	29	0	0	7.27
0	30	475.99	29	0	0	7.28
0	30	475.99	29	0	0	7.29
0	30	475.99	29	0	0	7.31
0	30	475.99	29	0	0	7.31
0	30	475.99	29	0	0	7.31
0	30	475.99	29	0	0	7.29
0	30	475.99	30	0	0	7.27
0	30	475.99	30	0	0	7.25
0	30	475.99	29	0	0	7.22
0	30	475.99	29	0	0	7.19
0	30	475.99	30	0	0	7.15
0	30	475.99	29	0	0	7.11
0	30	475.99	29	0	0	7.06
0	30	475.99	29	0	0	7.01
0	30	475.99	29	0	0	6.96
0	30	475.99	29	0	0	6.90
0	30	475.99	29	0	0	6.83
0	30	475.99	29	0	0	6.76
0	30	475.99	29	0	0	6.70
0	30	475.99	29	0	0	6.62
0	30	475.99	29	0	0	6.54
0	30	475.99	29	0	0	6.46
0	30	475.99	29	0	0	6.39
0	30	475.99	29	0	0	6.32
0	30	475.99	29	0	0	6.25
0	30	475.99	30	0	0	6.25
0	30	475.99	30	0	0	6.19
0	30	475.99	30	0	0	6.13
0	30	475.99	30	0	0	6.07
0	30	475.99	30	0	0	6.02
0	30	475.99	30	0	0	5.97
0	30	475.99	31	0	0	5.92
0	30	475.99	31	0	0	5.88
0	30	475.99	30	0	0	5.83
0	30	475.99	30	0	0	5.79
0	30	475.99	30	0	0	5.75
0	30	475.99	30	0	0	5.71
0	30	475.99	30	0	0	5.68
0	30	475.99	30	0	0	5.64
0	30	475.99	29	0	0	5.61
0	30	475.99	29	0	0	5.58
0	30	475.99	29	0	0	5.56
0	30	475.99	29	0	0	5.53
0	30	475.99	29	0	0	5.50
0	30	475.99	29	0	0	5.48
0	30	475.99	29	0	0	5.46
0	30	475.99	29	0	0	5.46
1	30	475.99	28	0	0	5.44
1	30	475.99	28	0	0	5.42
1	30	475.99	28	0	0	5.40
1	30	475.99	28	0	0	5.39
1	30	475.99	28	0	0	5.38
1	30	475.99	28	0	0	5.36
1	30	475.99	28	0	0	5.34
1	30	475.99	28	0	0	5.33
1	30	475.99	28	0	0	5.32
1	30	475.99	28	0	0	5.31
1	30	475.99	28	0	0	5.29
1	30	475.99	28	0	0	5.28
1	30	475.99	28	0	0	5.27
1	30	475.99	28	0	0	5.27
1	30	475.99	28	0	0	5.25
1	30	475.99	28	0	0	5.25
1	30	475.99	28	0	0	5.24
1	30	475.99	28	0	0	5.23
1	30	475.99	28	0	0	5.22
1	30	475.99	28	0	0	5.21
0	30	475.99	29	0	0	5.21
0	30	475.99	29	0	0	5.20
1	30	475.99	28	0	0	5.19
1	30	475.99	28	0	0	5.19
1	30	475.99	28	0	0	5.18
1	30	475.99	28	0	0	5.17
1	30	475.99	28	0	0	5.17
1	30	475.99	27	0	0	5.17
1	30	475.99	28	0	0	5.16
1	30	475.99	28	0	0	5.15
0	30	475.99	29	0	0	5.15
0	30	475.99	29	0	0	5.15
0	30	475.99	29	0	0	5.14
0	30	475.99	29	0	0	5.14
0	30	475.99	29	0	0	5.13
0	30	475.99	29	0	0	5.13
0	30	475.99	29	0	0	5.12
0	30	475.99	29	0	0	5.12
0	30	475.99	29	0	0	5.12
0	30	475.99	29	0	0	5.12
0	30	475.99	29	0	0	5.11
0	30	475.99	29	0	0	5.11
1	30	475.99	28	0	0	5.11
0	30	475.99	29	0	0	5.10
0	30	475.99	29	0	0	5.10
0	30	475.99	29	0	0	5.09
0	30	475.99	29	0	0	5.09
0	30	475.99	29	0	0	5.08
0	30	475.99	29	0	0	5.07
