Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
27	21	421.49	331	0	-2	7.50
27	21	421.49	331	0	-2	7.50
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
28	21	421.49	330	0	-2	7.50
28	21	421.49	330	0	-2	7.50
28	21	421.49	330	0	-2	7.50
28	21	421.49	330	0	-2	7.50
28	21	421.49	330	0	-2	7.50
28	21	421.49	330	0	-2	7.50
28	21	421.49	330	0	-2	7.50
27	21	421.49	331	0	-2	7.50
27	21	421.49	331	0	-2	7.50
27	21	421.49	331	0	-2	7.50
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
0	0	0.00	0	0	0	0.00
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.52
27	21	421.49	331	0	-2	7.51
27	21	421.49	331	0	-2	7.56
27	21	421.49	331	0	-2	7.56
27	21	421.49	331	0	-2	7.56
27	21	421.49	331	0	-2	7.57
27	21	421.49	331	0	-2	7.57
27	21	421.49	331	0	-2	0.00
27	21	421.49	331	0	-2	0.00
27	21	421.49	331	0	-2	0.00
27	0	0.00	1	0	32638	0.00
