Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
6	2	0.00	1	0	0	0.00
6	2	0.00	1	0	0	0.00
6	2	0.00	1	0	0	0.00
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.52
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	423.28	299	-3	-5	7.51
46	22	422.89	299	-3	-5	7.52
46	22	422.89	299	-3	-5	7.52
46	22	422.89	299	-3	-5	7.52
46	22	422.89	299	-3	-5	7.52
46	22	422.89	299	-3	-5	7.52
46	22	422.89	299	-3	-5	7.52
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.55
46	22	422.89	299	-3	-5	7.54
46	22	422.89	299	-3	-5	7.54
46	22	422.89	299	-3	-5	7.54
46	22	422.89	299	-3	-5	7.54
