Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
5	29	470.20	19	0	-4	7.69
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.70
5	29	470.20	19	0	-4	7.67
5	29	470.20	19	0	-4	7.67
5	29	470.20	19	0	-4	7.67
5	29	470.20	19	0	-4	7.67
5	29	470.20	19	0	-4	7.67
5	29	470.20	19	0	-4	7.66
5	29	470.20	19	0	-4	7.66
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
6	29	470.20	18	0	-4	7.65
5	29	470.20	19	0	-4	7.63
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.31
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.44
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.61
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.66
5	29	470.20	19	0	-4	7.66
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.65
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.60
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
5	29	470.20	19	0	-4	7.59
6	29	470.20	18	0	-4	7.56
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
6	29	470.20	18	0	-4	7.55
7	29	470.20	15	1	-4	7.44
7	29	470.20	15	1	-4	7.44
7	29	470.20	15	1	-4	7.44
8	29	470.20	14	1	-4	7.43
8	29	470.20	13	2	-4	7.44
8	29	470.20	13	2	-4	7.44
8	29	470.20	13	2	-4	7.44
8	29	470.20	13	2	-4	7.44
8	29	470.20	13	2	-4	7.44
10	29	470.20	10	2	-4	7.45
10	29	470.20	10	2	-4	7.45
11	29	470.20	9	3	-5	7.45
11	29	470.20	9	3	-5	7.45
11	29	470.20	8	3	-5	7.46
12	29	470.20	7	3	-5	7.46
12	29	470.20	7	3	-5	7.46
12	29	470.20	7	3	-5	7.46
12	29	470.20	7	3	-5	7.46
13	29	470.20	4	4	-5	7.46
14	29	470.20	3	4	-5	7.46
14	29	470.20	3	4	-5	7.46
15	29	470.20	2	4	-5	7.45
15	29	470.20	2	4	-5	7.45
15	29	470.20	2	5	-5	7.44
15	29	470.20	1	5	-5	7.43
15	29	470.20	1	5	-5	7.41
16	29	470.20	0	5	-5	7.39
16	29	470.20	0	5	-5	7.36
16	29	470.20	0	6	-5	7.32
16	29	470.20	0	6	-5	7.27
16	29	470.20	0	6	-5	7.22
16	29	470.20	0	6	-5	7.22
16	29	470.20	0	6	-5	7.22
16	29	470.20	0	6	-5	7.22
16	29	470.20	359	6	-5	7.13
16	29	470.20	359	6	-5	7.13
16	29	470.20	359	6	-5	7.08
16	29	470.20	359	7	-5	7.04
16	29	470.20	359	7	-5	7.04
16	29	470.20	0	7	-5	6.99
16	29	470.20	0	7	-5	6.99
16	29	470.20	0	7	-5	6.94
16	29	470.20	0	7	-5	6.94
16	29	470.20	0	7	-5	6.94
16	29	470.20	0	7	-5	6.94
16	29	470.20	0	7	-5	6.94
16	29	470.20	0	7	-5	6.94
16	29	470.20	0	7	-5	6.86
16	29	470.20	0	7	-5	6.86
16	29	470.20	0	7	-5	6.86
16	29	470.20	0	7	-5	6.86
7	29	470.57	16	0	-4	6.27
7	29	470.57	16	0	-4	6.23
7	29	470.57	16	0	-4	6.18
7	29	470.57	16	0	-4	6.14
7	29	470.57	16	0	-4	6.10
7	29	0.00	0	0	32636	0.00
7	29	470.57	16	0	-4	6.02
7	29	470.57	16	0	-4	6.02
7	29	470.57	15	0	-4	5.99
7	29	470.57	15	0	-4	5.95
7	29	470.57	15	0	-4	5.91
7	29	470.57	15	0	-4	5.87
7	29	470.57	15	0	-4	5.84
7	29	470.57	15	0	-4	5.80
7	29	470.57	15	0	-4	5.77
7	29	470.57	15	0	-4	5.74
7	29	470.57	15	0	-4	5.71
7	29	470.57	15	0	-4	5.67
7	29	470.57	15	0	-4	5.64
7	29	470.57	15	0	-4	5.62
7	29	470.57	15	0	-4	5.60
7	29	470.57	15	0	-4	5.57
7	29	470.57	15	0	-4	5.55
7	29	470.57	15	-1	-4	5.52
7	29	470.57	15	-1	-4	5.50
7	29	470.57	15	-1	-4	5.47
7	29	470.57	15	-1	-4	5.46
7	29	470.57	15	-1	-4	5.44
7	29	470.57	15	-1	-4	5.44
7	29	470.57	15	-1	-4	5.42
7	29	470.57	15	-1	-4	5.41
7	29	470.57	15	-1	-4	5.40
7	29	470.57	15	-1	-4	5.40
7	29	470.57	15	-1	-4	5.39
7	29	470.57	15	-1	-4	5.39
7	29	470.57	15	-1	-4	5.39
7	29	470.57	15	-1	-4	5.38
7	29	470.57	15	-1	-4	5.38
7	29	470.57	15	-1	-4	5.38
7	29	470.57	15	-1	-4	5.38
7	29	470.57	15	0	-4	5.38
7	29	470.57	15	0	-4	5.38
7	29	470.57	15	0	-4	5.38
7	29	470.57	15	0	-3	5.37
7	29	470.57	15	0	-3	5.37
7	29	470.57	15	-1	-3	5.38
7	29	470.57	15	-1	-3	5.39
7	29	470.57	15	-1	-3	5.39
7	29	470.57	15	-1	-2	5.39
7	29	470.57	15	-1	-2	5.39
7	29	470.57	15	-1	-1	5.39
9	29	470.57	12	-2	14	5.75
9	29	470.57	12	-2	14	5.75
9	29	470.57	12	-2	14	5.79
9	29	470.57	12	-2	13	5.83
9	29	470.57	12	-2	13	5.86
9	29	470.57	12	-2	13	5.89
9	29	470.57	12	-2	13	5.91
10	29	470.57	11	-2	12	5.93
10	29	470.57	11	-2	12	5.95
10	29	470.57	11	-2	12	5.96
10	29	470.57	11	-2	11	5.97
10	29	470.57	11	-1	11	5.98
10	29	470.57	10	-1	10	5.98
10	29	470.57	10	-1	9	5.97
10	29	470.57	10	-1	9	5.97
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
11	29	470.57	9	0	8	5.95
10	29	470.57	10	0	3	5.97
10	29	470.57	10	0	3	5.97
10	29	470.57	10	0	3	5.97
10	29	470.57	10	0	3	5.97
10	29	470.57	10	0	3	5.97
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
9	29	470.57	12	0	2	6.04
-1	29	470.57	32	-8	1	6.66
-2	29	470.57	33	-9	2	6.61
-2	29	470.57	34	-10	3	6.54
-3	29	470.57	35	-11	4	6.49
-3	29	470.57	36	-12	5	6.43
-4	29	470.57	37	-13	6	6.43
-5	29	470.57	38	-14	7	6.38
-5	29	470.57	39	-15	8	6.32
-6	29	470.57	40	-16	9	6.27
-6	29	470.57	40	-17	10	6.21
-6	29	470.57	41	-17	10	6.16
-7	29	470.57	42	-18	11	6.12
-7	29	470.57	42	-18	12	6.08
-7	29	470.57	42	-19	13	6.03
