Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
0	0	0.00	0	0	-132	7.53
0	0	0.00	0	0	-132	7.53
0	0	0.00	0	0	-132	7.53
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.53
36	22	423.54	317	0	-3	7.53
36	22	423.54	317	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
36	22	423.54	317	0	-3	7.53
36	22	423.54	317	0	-3	7.53
36	22	423.54	317	0	-3	7.53
36	22	423.54	317	0	-3	7.54
36	22	423.54	317	0	-3	7.54
36	22	423.54	317	0	-3	7.54
36	22	423.54	317	0	-3	7.55
36	22	423.54	317	0	-3	7.55
36	22	423.54	317	0	-3	7.55
36	22	423.54	317	0	-3	7.55
36	22	423.54	317	0	-3	7.55
36	22	423.54	317	0	-3	7.55
35	22	423.54	318	0	-3	7.55
36	22	423.54	317	0	-3	7.54
36	22	423.54	317	0	-3	7.54
36	22	423.54	317	0	-3	7.54
36	22	423.54	317	0	-3	7.53
36	22	423.54	317	0	-3	7.53
36	22	423.54	317	0	-3	7.53
36	22	423.54	317	0	-3	7.53
36	22	423.54	317	0	-3	7.53
36	22	423.54	317	0	-3	7.53
35	22	423.54	318	0	-3	7.54
35	22	423.54	318	0	-3	7.54
35	22	423.54	318	0	-3	7.54
35	22	0.00	318	0	-132	0.00
35	22	0.00	318	0	-132	0.00
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.53
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.53
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
36	22	423.54	317	0	-3	7.52
35	22	423.54	318	0	-3	7.52
35	22	423.54	318	0	-3	7.52
63	22	423.40	268	0	-3	7.62
63	22	423.40	268	0	-3	7.62
63	22	423.40	267	0	-3	7.60
63	22	423.40	267	0	-3	7.60
63	22	423.40	267	0	-3	7.60
63	22	423.40	267	0	-3	7.60
63	22	423.14	267	0	-3	7.58
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
63	22	423.14	267	0	-3	7.57
63	22	423.14	267	0	-3	7.57
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
63	22	423.14	267	0	-3	7.56
63	22	423.14	267	0	-3	7.56
63	22	423.14	267	0	-3	7.56
0	0	0.00	1	0	-3	7.54
0	0	0.00	1	0	-3	7.54
0	0	0.00	1	0	-3	7.54
0	0	0.00	1	0	-3	7.54
63	22	423.14	267	0	-3	7.54
63	22	423.14	267	0	-3	7.54
63	22	423.14	267	0	-3	7.54
63	22	423.14	267	0	-3	7.53
63	22	423.14	267	0	-3	7.53
63	22	423.14	267	0	-3	7.53
63	22	423.14	267	0	-3	7.53
63	22	423.14	267	0	-3	7.52
63	22	423.14	267	0	-3	7.52
63	22	423.14	267	0	-3	7.52
63	22	0.00	267	-1	-4	0.00
63	22	0.00	267	-1	-4	0.00
63	22	0.00	267	-1	-4	0.00
63	22	423.14	267	-1	-3	7.52
63	22	423.14	267	-1	-3	7.50
63	22	423.14	267	-1	-3	7.50
63	22	423.14	267	-1	-3	7.50
63	22	423.14	267	-1	-3	7.50
63	22	423.14	267	-1	-3	7.49
63	22	423.14	267	-1	-3	7.49
63	22	423.14	267	-1	-3	7.49
63	22	423.14	267	-1	-3	7.47
63	22	423.14	267	-1	-3	7.47
63	22	423.14	267	-1	-3	7.47
63	22	423.14	267	-1	-3	7.47
63	22	423.14	268	-1	-3	7.46
