Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
-56	0	0	101	0	0	0.41
-57	0	0	103	0	1	0.83
-56	0	0	102	-1	2	1.24
-55	0	0	100	-1	3	1.65
-55	0	0	100	-1	3	2.06
-55	0	0	99	-1	4	2.48
-55	0	0	99	-2	4	2.89
-55	0	0	100	-2	5	3.30
-55	0	0	99	-2	5	3.71
-55	0	0	99	-2	6	4.12
-54	0	0	98	-2	6	4.53
-53	0	0	97	-2	6	4.94
-53	0	0	97	-3	7	5.35
-53	0	0	97	-3	7	5.76
-53	0	0	96	-3	7	6.17
-52	0	0	95	-3	7	6.58
-52	0	0	94	-3	7	6.99
-51	0	0	93	-3	8	7.40
-51	0	0	93	-3	8	7.81
-52	0	0	95	-3	8	8.23
-51	0	0	93	-3	8	8.23
-50	0	0	90	-4	8	8.22
-49	0	0	89	-4	8	8.22
-48	0	0	88	-4	9	8.22
-48	0	0	87	-4	9	8.22
-47	0	0	86	-4	9	8.22
-47	0	0	86	-4	9	8.22
-47	0	0	85	-4	9	8.22
-47	0	0	85	-4	9	8.22
-47	0	0	85	-3	9	8.22
-46	0	0	84	-4	9	8.22
-44	0	0	80	-3	9	8.23
-45	0	0	81	-3	9	8.23
-45	0	0	82	-3	9	8.23
-46	0	0	83	-3	10	8.23
-5	75	24	84	-3	10	8.23
-5	75	24	84	-3	10	8.23
-5	75	24	85	-3	10	8.23
-5	75	24	85	-3	10	8.19
-5	75	24	85	-3	10	8.17
-6	75	24	86	-3	10	8.15
-6	75	24	87	-3	11	8.15
-6	75	24	87	-3	11	8.15
-6	75	24	87	-3	11	8.11
-7	75	24	88	-3	11	8.09
-7	75	24	88	-3	11	8.07
-7	75	24	88	-3	12	8.07
-7	75	24	89	-3	12	8.07
-7	75	24	89	-3	12	8.06
-8	75	24	90	-3	12	8.06
-8	75	24	90	-3	12	8.03
-9	75	24	92	-3	13	8.00
-9	75	24	92	-3	13	8.00
-10	75	24	93	-3	13	7.97
-10	75	24	93	-3	13	7.96
-9	75	24	92	-3	13	7.97
-9	75	24	92	-3	13	8.00
-9	75	24	92	-3	13	8.02
-9	75	24	92	-2	13	8.01
-9	75	24	92	-2	13	8.01
-9	75	24	92	-2	13	8.01
-8	75	24	91	-2	13	8.04
-8	75	24	91	-2	13	8.06
-8	75	24	90	-2	13	8.07
-7	75	24	89	-2	13	8.07
-7	75	24	88	-2	12	8.05
-7	75	24	88	-2	12	8.04
-6	75	24	87	-2	12	8.04
-6	75	24	87	-2	12	8.07
-6	75	24	86	-2	13	8.08
-6	75	24	86	-1	13	8.08
-6	75	24	86	-1	13	8.08
-5	75	24	85	-1	13	8.06
-5	75	24	84	-1	13	8.04
-5	75	24	84	-1	13	8.07
-4	75	24	83	-1	12	8.07
-3	75	24	82	-1	12	8.07
-3	75	24	81	-2	11	8.07
-2	75	24	79	-2	11	8.05
-1	75	24	78	-2	11	8.05
-1	75	24	77	-2	11	8.05
-1	75	24	77	-2	11	8.06
-1	75	24	77	-2	11	8.06
-1	75	24	77	-2	12	8.06
-1	75	24	77	-1	12	8.06
-1	75	24	78	-2	12	8.04
-1	75	24	78	-1	12	8.05
-1	75	24	77	-2	12	8.06
-2	72	25	77	-2	12	8.06
-2	72	25	76	-2	11	8.06
-1	72	25	75	-2	11	8.06
0	72	25	73	-2	10	8.06
0	72	25	72	-2	10	8.06
0	72	25	71	-2	10	8.08
0	72	25	71	-2	10	8.10
0	72	25	71	-2	10	8.07
1	72	25	70	-2	10	8.07
0	72	25	71	-2	10	8.05
1	72	25	70	-2	10	8.05
1	72	25	70	-2	10	8.06
1	72	25	69	-2	10	8.08
2	72	25	68	-2	10	8.08
7	72	25	59	-1	11	8.04
7	72	25	59	-1	11	8.03
7	72	25	58	-1	11	8.03
7	72	25	58	-1	11	8.01
7	72	25	58	-1	11	8.01
8	72	25	57	-1	11	8.00
8	72	25	56	-1	11	8.00
10	72	25	54	-1	11	8.01
10	72	25	53	-1	11	8.01
11	72	25	52	-1	11	8.03
11	72	25	51	-1	11	8.03
12	72	25	50	-1	11	8.05
12	72	25	50	-1	11	8.03
12	72	25	50	-1	11	8.03
12	72	25	50	-1	11	8.02
12	72	25	49	-1	11	8.02
12	72	25	49	-1	11	8.04
13	72	25	48	-1	11	8.04
13	72	25	47	-1	11	8.07
