Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
8	0	0.00	345	0	0	0.41
8	0	0.00	345	0	0	0.82
8	0	0.00	344	0	1	1.24
8	0	0.00	345	-1	1	1.65
7	0	0.00	346	-1	1	2.06
7	0	0.00	346	-1	2	2.48
7	0	0.00	346	-1	2	2.89
7	0	0.00	346	-2	2	3.30
7	0	0.00	347	-2	2	3.71
7	0	0.00	346	-2	3	4.12
7	0	0.00	346	-2	3	4.54
7	0	0.00	347	-2	3	4.95
7	0	0.00	347	-2	3	5.36
7	0	0.00	346	-2	3	5.77
7	0	0.00	346	-2	3	6.18
7	0	0.00	346	-2	3	6.59
7	0	0.00	346	-2	3	7.00
7	0	0.00	346	-3	4	7.41
7	0	0.00	346	-3	4	7.81
7	0	0.00	346	-3	4	8.22
7	0	0.00	346	-3	4	8.22
7	0	0.00	346	-3	4	8.22
7	0	0.00	346	-3	4	8.21
7	0	0.00	346	-3	4	8.21
-74	212	10.78	346	-3	4	8.20
-74	212	10.78	346	-3	4	8.20
-74	212	10.78	346	-3	4	8.16
-74	212	10.78	346	-3	4	8.12
-73	212	10.78	345	-3	4	8.09
-73	212	10.78	344	-3	4	8.08
-72	212	10.78	343	-3	5	8.07
-72	212	10.78	342	-3	5	8.06
-71	212	10.78	341	-3	5	8.05
-71	212	10.78	340	-3	5	8.04
-70	212	10.78	339	-3	6	8.03
-70	212	10.78	338	-3	6	8.02
-70	212	10.78	338	-3	6	8.01
-69	212	10.78	337	-3	6	8.01
-69	212	10.78	337	-3	6	7.99
-68	212	10.78	336	-3	6	7.95
-67	212	10.78	334	-3	6	7.90
-67	212	10.78	333	-3	6	7.90
-66	212	10.78	332	-3	6	7.87
-65	212	10.78	330	-2	6	7.84
-63	212	10.78	327	-2	6	7.82
-63	212	10.78	326	-2	6	7.80
-62	212	10.78	325	-2	6	7.78
-62	212	10.78	325	-2	6	7.80
-62	212	11.13	325	-2	6	7.83
-61	212	11.13	323	-2	6	7.85
-60	212	11.13	320	-2	6	7.85
-56	212	11.13	314	-2	6	7.86
-55	212	11.13	312	-2	7	7.86
-53	212	11.13	309	-2	7	7.86
-53	212	11.13	308	-2	6	7.86
-52	212	11.13	307	-1	6	7.82
-52	212	11.13	306	-1	6	7.78
-51	212	11.13	304	-1	6	7.76
-49	212	11.13	301	-1	6	7.74
-47	212	11.13	298	-1	7	7.76
-46	212	11.13	295	-1	7	7.78
-45	212	11.13	293	-1	7	7.78
-43	212	11.13	291	-1	7	7.79
-43	212	11.13	290	-1	7	7.82
-43	212	11.13	290	0	7	7.83
-42	212	11.13	289	0	6	7.85
-42	212	11.13	288	0	6	7.86
-41	212	11.13	286	0	7	7.87
-40	212	11.13	284	0	7	7.86
-38	212	11.13	282	-1	7	7.86
-37	212	11.13	280	-1	7	7.86
-37	212	11.13	279	-1	7	7.86
-36	212	11.13	278	-1	7	7.86
-36	212	11.13	277	-1	7	7.86
-35	212	11.13	276	-1	7	7.82
-34	212	11.13	274	-1	7	7.78
-33	212	11.13	272	-1	7	7.78
-32	212	11.13	271	0	7	7.79
