Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
-32647	0	0.00	0	32512	32764	0.00
-32647	0	0.00	0	32512	32764	0.00
-32647	0	0.00	0	32512	32764	0.00
-5	22	421.72	32	-3	-4	7.45
-5	22	421.72	32	-3	-4	7.45
-5	22	421.72	32	-3	-4	7.45
-5	22	421.72	32	-3	-4	7.45
-5	22	421.72	32	-3	-4	7.45
-5	22	421.72	32	-3	-4	7.45
-5	22	421.72	32	-3	-4	7.45
-5	22	421.72	32	-3	-4	7.45
-5	22	421.72	32	-3	-4	7.45
-5	22	421.72	32	-3	-4	7.45
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	31	-3	-4	7.46
-5	22	421.72	31	-3	-4	7.46
-5	22	421.72	31	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.46
-5	22	421.72	31	-3	-4	7.46
-5	22	421.72	31	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
-5	22	421.72	31	-3	-4	7.46
-5	22	421.72	31	-3	-4	7.46
-5	22	421.72	31	-3	-4	7.46
-5	22	422.11	31	-3	-4	7.45
-5	22	422.11	31	-3	-4	7.45
-5	22	422.11	31	-3	-4	7.45
-5	22	422.11	31	-3	-4	7.45
-5	22	422.11	31	-3	-4	7.45
-5	22	422.11	31	-3	-4	7.45
-5	22	422.11	31	-3	-4	7.45
-5	22	422.11	31	-3	-4	7.45
-5	22	422.11	31	-3	-4	7.45
-5	22	422.11	31	-3	-4	7.45
-5	22	422.11	31	-3	-4	7.45
-5	22	422.11	31	-3	-4	7.45
-6	22	421.72	33	-3	-4	7.47
-6	22	421.72	33	-3	-4	7.47
-6	22	421.72	33	-3	-4	7.47
-6	22	421.72	33	-3	-4	7.47
-6	22	421.72	33	-3	-4	7.47
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.47
-6	22	421.72	33	-3	-4	7.47
-6	22	421.72	33	-3	-4	7.47
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.46
-6	22	421.72	33	-3	-4	7.47
-6	22	421.72	33	-3	-4	7.47
-6	22	421.72	33	-3	-4	7.47
-6	22	421.72	33	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-6	22	421.72	33	-3	-4	7.48
-6	22	421.72	33	-3	-4	7.48
-6	22	421.72	33	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
0	2	0.00	0	-3	-4	7.48
0	2	0.00	0	-3	-4	7.48
0	2	0.00	0	-3	-4	7.48
0	2	0.00	0	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
-5	22	421.72	32	-3	-4	7.46
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.47
-5	22	421.72	31	-3	-4	7.48
-5	22	421.72	31	-3	-4	7.48
-5	22	421.72	31	-3	-4	7.48
-5	22	421.72	31	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.48
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
-5	22	421.72	32	-3	-4	7.47
