Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
3	22	421.98	15	0	-2	7.47
3	22	421.98	15	0	-2	7.47
3	22	421.98	15	0	-2	7.47
3	22	421.98	15	0	-2	7.47
3	22	421.98	15	0	-2	7.47
3	22	421.98	15	0	-2	7.47
3	22	421.98	15	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	421.98	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
3	22	422.24	15	0	-2	7.46
3	22	422.24	15	0	-2	7.46
3	22	422.24	15	0	-2	7.46
3	22	422.24	15	0	-2	7.46
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
3	22	422.24	15	0	-2	7.47
3	22	422.24	15	0	-2	7.47
3	22	422.24	15	0	-2	7.47
3	22	422.24	15	0	-2	7.46
3	22	422.24	15	0	-2	7.46
3	22	422.24	15	0	-2	7.46
3	22	422.24	15	0	-2	7.46
3	22	422.24	15	0	-2	7.46
3	22	422.24	15	0	-2	7.46
3	22	422.24	15	0	-2	7.46
0	2	0.00	6	0	32638	0.00
0	2	0.00	6	0	32638	0.00
0	2	0.00	6	0	32638	0.00
0	2	0.00	6	0	32638	0.00
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.43
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
3	22	422.24	15	0	-2	7.45
3	22	422.24	15	0	-2	7.45
3	22	422.24	15	0	-2	7.45
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	0.00
4	22	422.24	14	0	-2	0.00
4	22	422.24	14	0	-2	0.00
4	22	422.24	14	0	-2	0.00
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.44
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
5	22	422.24	13	0	-2	7.45
5	22	422.24	13	0	-2	7.45
5	22	422.24	13	0	-2	7.45
5	22	422.24	13	0	-2	7.45
4	22	422.24	14	0	-2	7.45
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.48
4	22	422.24	14	0	-2	7.48
4	22	422.24	14	0	-2	7.48
4	22	422.24	14	0	-2	0.00
4	22	422.24	14	0	-2	0.00
4	22	422.24	14	0	-2	0.00
0	2	0.00	6	0	0	0.00
0	2	0.00	6	0	0	0.00
0	2	0.00	6	0	0	0.00
4	22	422.24	14	0	-2	7.48
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.47
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.46
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
4	22	422.24	14	0	-2	7.45
