Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
0	30	475.63	29	0	0	7.26
0	30	475.63	29	0	0	7.27
0	30	475.63	30	0	0	7.28
0	30	475.63	30	0	0	7.28
0	30	475.63	30	0	0	7.27
0	30	475.63	30	0	0	7.26
0	30	475.63	31	0	0	7.24
-1	30	475.63	32	0	0	7.22
0	30	475.63	31	0	0	7.18
0	30	475.63	31	0	0	7.15
0	30	475.63	31	0	0	7.11
0	30	475.63	30	0	0	7.07
0	30	475.63	30	0	0	7.02
0	30	475.63	30	0	0	6.97
0	30	475.63	30	0	0	6.92
0	30	475.63	30	0	0	6.92
0	30	475.63	30	0	0	6.86
0	30	475.63	30	0	0	6.80
0	30	475.63	30	0	0	6.73
0	30	475.63	30	0	0	6.67
0	30	475.63	30	0	0	6.60
0	30	475.63	30	0	0	6.53
0	30	475.63	30	0	0	6.46
0	30	475.63	30	0	0	6.39
0	30	475.63	30	0	0	6.32
0	30	475.63	30	0	0	6.26
0	30	475.63	30	0	0	6.19
0	30	475.63	29	0	0	6.14
0	30	475.63	29	0	0	6.08
1	30	475.63	28	0	0	6.02
1	30	475.63	28	0	0	5.97
1	30	475.63	28	0	0	5.92
1	30	475.63	28	0	0	5.87
0	30	475.63	29	0	0	5.82
1	30	475.63	28	0	0	5.78
0	30	475.63	29	0	0	5.73
0	30	475.63	29	0	0	5.73
0	30	475.63	29	0	0	5.70
0	30	475.63	29	0	0	5.66
0	30	475.63	29	0	0	5.62
0	30	475.63	29	0	0	5.59
0	30	475.63	29	0	0	5.56
0	30	475.63	29	0	0	5.53
0	30	475.63	29	0	0	5.50
0	30	475.63	29	0	0	5.47
0	30	475.63	29	0	0	5.44
0	30	475.63	30	0	0	5.41
0	30	475.63	29	0	0	5.39
0	30	475.63	30	0	0	5.37
0	30	475.63	29	0	0	5.35
0	30	475.63	29	0	0	5.33
0	30	475.63	29	0	0	5.31
0	30	475.63	29	0	0	5.29
0	30	475.63	30	0	0	5.27
0	30	475.63	29	0	0	5.26
0	30	475.63	29	0	0	5.25
0	30	475.63	29	0	0	5.24
0	30	475.63	29	0	0	5.24
0	30	475.63	29	0	0	5.22
0	30	475.63	29	0	0	5.21
0	30	475.63	29	0	0	5.20
0	30	475.63	29	0	0	5.20
0	30	475.63	30	0	0	5.19
0	30	475.63	30	0	0	5.19
0	30	475.63	30	0	0	5.17
0	30	475.63	30	0	0	5.17
0	30	475.63	30	0	0	5.17
0	30	475.63	29	0	0	5.16
0	30	475.63	29	0	0	5.15
0	30	475.63	29	0	0	5.15
0	30	475.63	29	0	0	5.14
0	30	475.63	29	0	0	5.13
0	30	475.63	29	0	0	5.12
0	30	475.63	29	0	0	5.12
0	30	475.63	29	0	0	5.11
0	30	475.63	29	0	0	5.10
1	30	475.63	28	0	0	5.10
0	30	475.63	29	0	0	5.09
0	30	475.63	29	0	0	5.09
0	30	475.63	29	0	0	5.08
1	30	475.63	28	0	0	5.07
1	30	475.63	28	0	0	5.07
1	30	475.63	28	0	0	5.05
0	30	475.63	29	0	0	5.04
0	30	475.63	29	0	0	5.04
0	30	475.63	29	0	0	5.03
0	30	475.63	29	0	0	5.02
1	30	475.63	28	0	0	5.01
1	30	475.63	28	0	0	5.01
0	30	475.63	29	0	0	5.01
1	30	475.63	28	0	0	5.00
0	30	475.63	29	0	0	5.00
0	30	475.63	29	0	0	4.99
0	30	475.63	29	0	0	4.99
0	30	475.63	29	0	0	4.99
0	30	475.63	29	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
0	30	475.63	29	0	0	4.98
0	30	475.63	29	0	0	4.98
0	30	475.63	29	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	27	0	0	4.99
1	30	475.63	27	0	0	4.99
1	30	475.63	27	0	0	4.99
1	30	475.63	28	0	0	5.00
1	30	475.63	27	0	0	4.99
1	30	475.63	27	0	0	5.00
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
0	30	475.63	29	0	0	4.99
0	30	475.63	29	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	5.00
1	30	475.63	28	0	0	5.00
1	30	475.63	27	0	0	5.00
1	30	475.63	27	0	0	5.00
1	30	475.63	27	0	0	4.99
1	30	475.63	27	0	0	4.99
1	30	475.63	27	0	0	5.00
1	30	475.63	27	0	0	5.00
1	30	475.63	27	0	0	5.00
1	30	475.63	27	0	0	4.99
1	30	475.63	27	0	0	4.99
1	30	475.63	27	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
0	30	475.63	29	0	0	4.99
0	30	475.63	29	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
0	30	475.63	29	0	0	4.99
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	5.00
1	30	475.63	28	0	0	5.00
0	30	475.63	29	0	0	5.00
1	30	475.63	28	0	0	5.00
1	30	475.63	28	0	0	5.00
1	30	475.63	28	0	0	4.99
1	30	475.63	28	0	0	4.99
0	30	475.63	29	0	0	4.99
1	30	475.63	28	0	0	4.99
