Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
39	22	417.15	311	0	-2	7.44
39	22	417.15	311	0	-2	7.44
39	22	417.15	311	0	-2	7.44
39	22	417.15	311	0	-2	7.44
39	22	417.15	311	0	-2	7.44
39	22	417.15	311	0	-2	7.44
39	22	417.15	311	0	-2	7.44
39	22	417.15	311	0	-2	7.43
39	22	417.15	311	0	-2	7.43
39	22	417.15	311	0	-2	7.43
39	22	417.15	311	0	-2	7.43
39	22	417.15	311	0	-2	7.43
39	22	417.15	311	0	-2	7.43
39	22	417.15	311	0	-2	7.43
39	22	417.15	311	0	-2	7.43
39	22	417.15	311	0	-2	7.43
39	22	417.15	311	0	-2	7.43
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
39	22	417.15	311	0	-2	7.42
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
39	22	417.15	311	0	-2	7.41
39	22	417.15	311	0	-2	7.41
39	22	417.15	311	0	-2	7.41
39	22	417.15	311	0	-2	7.41
39	22	417.15	311	0	-2	7.41
39	22	417.15	311	0	-2	7.41
39	22	417.15	311	0	-2	7.41
39	22	417.15	311	0	-2	7.41
39	22	417.15	311	0	-2	7.41
39	22	417.15	311	0	-2	7.41
39	22	417.15	311	0	-2	7.41
39	22	417.15	311	0	-2	7.41
38	22	417.93	312	0	-2	7.47
38	22	417.93	312	0	-2	7.47
38	22	417.93	312	0	-2	7.48
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
38	22	417.93	312	0	-2	7.48
39	22	417.93	311	0	-2	7.48
39	22	417.93	311	0	-2	7.48
39	22	417.93	311	0	-2	7.48
39	22	417.93	311	0	-2	7.49
39	22	417.93	311	0	-2	7.49
38	22	0.00	24	0	32638	0.00
38	22	0.00	24	0	32638	0.00
38	22	0.00	24	0	32638	0.00
2	0	0.00	0	0	0	0.00
2	0	0.00	0	0	0	0.00
2	0	0.00	0	0	0	0.00
2	0	0.00	0	0	0	0.00
39	22	417.93	311	0	-2	7.48
39	22	417.93	311	0	-2	7.48
39	22	417.93	311	0	-2	7.48
39	22	417.93	311	0	-2	7.48
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
39	22	417.93	311	0	-2	7.48
39	22	417.93	311	0	-2	7.48
39	22	417.93	311	0	-2	7.48
2	2	0.00	24	0	32638	0.00
2	2	0.00	24	0	32638	0.00
2	2	0.00	24	0	32638	0.00
2	2	0.00	24	0	32638	0.00
38	22	418.33	312	0	-2	7.47
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
39	22	418.33	311	0	-2	7.48
39	22	418.33	311	0	-2	7.48
39	22	418.33	311	0	-2	7.48
38	22	418.33	312	0	-2	7.46
38	22	418.33	312	0	-2	7.46
38	22	418.33	312	0	-2	7.46
38	22	418.33	312	0	-2	7.46
38	22	418.33	312	0	-2	7.46
38	22	418.33	312	0	-2	7.46
39	22	418.33	311	0	-2	7.46
39	22	418.33	311	0	-2	7.46
39	22	418.33	311	0	-2	7.46
39	22	418.33	311	0	-2	7.46
39	22	418.33	311	0	-2	7.46
39	22	418.33	311	0	-2	7.46
39	22	418.33	311	0	-2	7.46
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.45
39	22	418.33	311	0	-2	7.46
39	22	418.33	311	0	-2	7.46
39	22	418.33	311	0	-2	7.46
39	22	418.33	311	0	-2	7.46
