Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
22	22	423.41	342	0	-1	7.51
22	22	423.41	342	0	-1	7.51
22	22	423.41	342	0	-1	7.51
21	22	423.41	343	0	-1	7.50
21	22	423.41	343	0	-1	7.50
21	22	423.41	343	0	-1	7.50
21	22	423.41	343	0	-1	7.50
21	22	423.41	343	0	-1	7.50
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
21	22	423.41	343	0	-1	7.50
21	22	423.41	343	0	-1	7.50
21	22	423.41	343	0	-1	7.50
21	22	0.00	343	0	-129	0.00
21	22	0.00	343	0	-129	0.00
21	22	0.00	343	0	-129	0.00
21	22	0.00	343	0	-129	0.00
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.50
21	22	423.80	343	0	-1	7.50
21	22	423.80	343	0	-1	7.50
21	22	423.80	343	0	-1	7.50
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.51
21	22	423.80	343	0	-1	7.51
21	22	423.80	343	0	-1	7.51
21	22	423.80	343	0	-1	7.51
21	22	423.80	343	0	-1	7.50
21	22	423.80	343	0	-1	7.50
21	22	423.80	343	0	-1	7.50
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.49
21	22	423.80	343	0	-1	7.47
21	22	423.80	343	0	-1	7.47
21	22	423.80	343	0	-1	7.47
21	22	423.80	343	0	-1	7.47
21	22	423.80	343	0	-1	7.47
21	22	423.80	343	0	-1	7.47
21	22	423.80	343	0	-1	7.47
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
21	22	423.80	343	0	-1	7.46
21	22	423.80	343	0	-1	7.46
21	22	423.80	343	0	-1	7.46
21	22	423.80	343	0	-1	7.46
21	22	423.80	343	0	-1	7.46
21	22	423.80	343	0	-1	7.46
21	22	423.80	343	0	-1	7.46
21	22	423.80	343	0	-1	7.45
21	22	423.80	343	0	-1	7.45
21	22	423.80	343	0	-1	7.45
21	22	423.80	343	0	-1	7.45
21	22	423.80	344	0	-1	7.45
21	22	423.80	344	0	-1	7.45
21	22	423.80	344	0	-1	7.45
21	22	423.80	343	0	-1	7.45
21	22	423.80	343	0	-1	7.45
21	22	423.80	343	0	-1	7.45
21	22	423.80	343	0	-1	7.45
21	22	423.80	343	0	-1	7.45
21	22	423.80	343	0	-1	7.45
21	22	423.80	343	0	-1	7.45
21	22	423.80	343	0	-1	7.44
21	22	423.80	343	0	-1	7.44
21	22	423.80	343	0	-1	7.44
21	22	423.80	344	0	-1	7.44
21	22	423.80	344	0	-1	7.44
21	22	423.80	344	0	-1	7.44
21	22	423.80	344	0	-1	7.44
21	22	423.80	343	0	-1	7.44
21	22	424.20	344	0	-1	7.48
21	22	424.20	344	0	-1	7.48
21	22	424.20	344	0	-1	7.48
21	22	424.20	344	0	-1	7.48
21	22	424.20	343	0	-1	7.48
21	22	424.20	343	0	-1	7.48
21	22	424.20	343	0	-1	7.48
21	22	424.20	343	0	-1	7.48
21	22	424.20	343	0	-1	7.48
21	22	424.20	343	0	-1	7.48
21	22	424.20	343	0	-1	7.48
21	22	424.20	343	0	-1	7.48
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
21	22	424.20	343	0	-1	7.49
21	22	424.20	343	0	-1	7.49
21	22	424.20	343	0	-1	7.49
21	22	424.20	343	0	-1	7.48
21	22	424.20	343	0	-1	7.48
