Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
-47	0	0.00	85	0	0	0.40
-46	0	0.00	84	-1	1	0.80
-46	0	0.00	83	-1	2	1.20
-46	0	0.00	83	-2	3	1.60
-45	0	0.00	82	-3	3	1.99
-44	0	0.00	80	-3	4	2.39
-44	0	0.00	80	-3	4	2.79
-43	0	0.00	79	-4	5	3.18
-43	0	0.00	78	-4	5	3.58
-43	0	0.00	78	-4	5	3.98
-42	0	0.00	77	-5	6	4.37
-42	0	0.00	76	-5	6	4.77
-42	0	0.00	76	-5	6	5.16
-41	0	0.00	75	-5	6	5.56
-41	0	0.00	75	-5	7	5.95
-41	0	0.00	74	-5	7	6.35
-41	0	0.00	74	-6	7	6.74
-41	0	0.00	74	-6	7	7.14
-40	0	0.00	73	-6	7	7.53
13	98	17.06	73	-6	7	7.93
13	98	17.06	73	-6	7	7.93
13	98	17.06	73	-6	8	7.90
13	98	17.06	73	-6	8	7.85
13	98	17.06	73	-6	8	7.81
13	98	17.06	73	-6	9	7.80
13	98	17.06	73	-6	9	7.79
14	98	17.06	72	-6	9	7.77
14	98	17.06	72	-6	9	7.75
14	98	17.06	72	-6	9	7.70
13	98	17.06	73	-6	10	7.69
13	98	17.06	73	-6	10	7.69
13	98	17.06	73	-6	10	7.68
13	98	17.06	73	-6	10	7.66
13	98	17.06	73	-6	10	7.63
13	98	17.06	73	-6	10	7.62
13	98	17.06	73	-6	10	7.62
14	98	17.06	72	-6	10	7.62
14	98	17.06	72	-6	10	7.60
14	98	17.06	72	-6	10	7.57
15	98	17.06	71	-6	10	7.56
15	98	17.06	71	-6	10	7.56
15	98	17.06	70	-6	10	7.56
15	98	17.06	70	-6	11	7.56
16	98	17.06	69	-6	11	7.57
16	98	17.06	69	-6	10	7.61
17	98	17.06	67	-6	10	7.62
17	98	17.06	66	-6	10	7.61
18	98	17.06	65	-6	10	7.61
20	100	14.39	64	-6	10	7.61
20	100	14.39	63	-6	10	7.64
