Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
-95	0	0.00	171	0	1	0.37
-95	0	0.00	172	0	2	0.75
-95	0	0.00	172	0	2	1.12
100	0	0.00	180	0	3	1.50
95	0	0.00	188	0	4	1.87
91	0	0.00	196	0	4	2.25
88	0	0.00	201	0	5	2.62
86	0	0.00	204	0	6	2.99
85	0	0.00	207	0	6	3.36
83	0	0.00	209	0	6	3.74
83	0	0.00	210	0	7	4.11
82	0	0.00	211	1	7	4.48
81	0	0.00	213	1	7	4.85
81	0	0.00	214	1	8	5.23
81	0	0.00	214	1	8	5.60
80	0	0.00	215	1	8	5.97
80	0	0.00	216	1	8	6.35
79	0	0.00	217	1	8	6.72
79	0	0.00	217	1	9	7.09
79	0	0.00	217	1	9	7.46
78	0	0.00	218	1	9	7.46
78	0	0.00	218	1	9	7.46
78	0	0.00	218	1	9	7.46
78	0	0.00	218	1	9	7.46
78	0	0.00	218	1	9	7.46
78	0	0.00	218	1	9	7.45
78	0	0.00	218	1	9	7.45
78	0	0.00	219	1	10	7.45
78	0	0.00	219	1	10	7.45
78	0	0.00	219	1	10	7.44
78	0	0.00	219	1	10	7.44
77	0	0.00	220	1	10	7.44
77	0	0.00	220	1	10	7.44
76	0	0.00	222	1	10	7.44
75	0	0.00	224	1	10	7.44
73	0	0.00	227	1	10	7.44
72	0	0.00	230	1	10	7.43
73	0	0.00	228	1	10	7.43
72	0	0.00	230	1	10	7.43
71	0	0.00	232	1	10	7.43
70	0	0.00	233	1	10	7.43
69	0	0.00	235	1	10	7.43
68	0	0.00	236	1	10	7.43
68	0	0.00	237	1	10	7.43
67	0	0.00	238	1	10	7.43
67	0	0.00	239	1	10	7.43
66	0	0.00	240	1	10	7.43
66	0	0.00	241	1	10	7.43
65	0	0.00	242	1	10	7.43
65	0	0.00	243	1	10	7.43
65	0	0.00	243	1	10	7.43
64	0	0.00	244	1	10	7.43
64	0	0.00	244	1	10	7.43
63	0	0.00	245	1	10	7.43
63	0	0.00	245	1	10	7.43
63	0	0.00	245	1	10	7.43
63	0	0.00	246	1	10	7.43
63	0	0.00	246	1	10	7.43
62	0	0.00	247	1	10	7.43
62	0	0.00	247	1	10	7.43
62	0	0.00	247	1	10	7.43
62	0	0.00	247	1	10	7.43
62	0	0.00	247	1	10	7.43
62	0	0.00	247	1	10	7.42
62	0	0.00	247	1	10	7.42
62	0	0.00	248	1	10	7.42
62	0	0.00	247	1	10	7.42
62	0	0.00	247	1	10	7.42
62	0	0.00	248	1	10	7.42
62	0	0.00	248	1	10	7.42
62	0	0.00	248	1	11	7.42
62	0	0.00	248	1	11	7.42
62	0	0.00	248	1	11	7.42
62	0	0.00	248	1	11	7.42
62	0	0.00	248	1	11	7.42
62	0	0.00	248	1	11	7.42
62	0	0.00	248	1	11	7.42
62	0	0.00	248	1	11	7.42
62	0	0.00	248	1	11	7.41
62	0	0.00	248	1	11	7.41
61	0	0.00	249	1	11	7.41
61	0	0.00	249	1	11	7.41
61	0	0.00	249	1	11	7.41
61	0	0.00	250	1	11	7.41
61	0	0.00	250	1	11	7.41
61	0	0.00	249	1	11	7.41
61	0	0.00	249	1	11	7.41
61	0	0.00	249	1	11	7.41
61	0	0.00	249	0	11	7.41
61	0	0.00	249	0	11	7.40
61	0	0.00	249	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	249	0	11	7.40
61	0	0.00	249	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	249	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
61	0	0.00	250	0	11	7.40
