Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
0	0	0.00	0	0	0	0.00
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	10.81
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	13.52
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.57
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	12.01
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
68	0	0.00	237	0	-1	11.63
