Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	0	0.00	0	0	0	0.00
-27	30	469.87	80	-6	-3	7.30
-27	30	469.87	79	-6	-3	7.31
-27	30	469.87	79	-6	-3	7.31
-27	30	469.87	79	-6	-3	7.31
-27	30	469.87	79	-6	-3	7.30
-27	30	469.87	79	-6	-3	7.29
-27	30	469.87	79	-6	-3	7.27
-27	30	469.87	79	-6	-3	7.25
-26	30	469.87	78	-6	-3	7.23
-26	30	469.87	78	-6	-3	7.20
-26	30	469.87	78	-6	-3	7.17
-26	30	469.87	78	-6	-3	7.13
-26	30	469.87	78	-6	-3	7.08
-26	30	469.87	78	-6	-3	7.03
-26	30	469.87	78	-6	-3	7.03
-26	30	469.87	78	-6	-3	6.97
-26	30	469.87	78	-6	-3	6.91
-26	30	469.87	78	-6	-3	6.85
-26	30	469.87	78	-6	-3	6.78
-26	30	469.87	78	-6	-3	6.71
-26	30	469.87	78	-6	-3	6.64
-26	30	469.87	78	-6	-3	6.57
-26	30	469.87	78	-6	-3	6.50
-27	30	469.87	79	-6	-3	6.43
-27	30	469.87	79	-6	-3	6.36
-27	30	469.87	79	-6	-3	6.30
-27	30	469.87	79	-6	-3	6.24
-27	30	469.87	79	-6	-3	6.17
-27	30	469.87	79	-6	-3	6.11
-27	30	469.87	79	-6	-3	6.05
-27	30	469.87	79	-6	-3	6.00
-26	30	469.87	78	-6	-3	5.95
-27	30	469.87	79	-6	-3	5.90
-27	30	469.87	79	-6	-3	5.86
-27	30	469.87	79	-6	-3	5.81
-27	30	469.87	79	-6	-3	5.81
-27	30	469.87	79	-6	-3	5.78
-27	30	469.87	80	-6	-3	5.74
-27	30	469.87	79	-6	-3	5.71
-27	30	469.87	79	-6	-3	5.67
-27	30	469.87	79	-6	-3	5.64
-27	30	469.87	79	-6	-3	5.60
-27	30	469.87	79	-6	-3	5.57
-27	30	469.87	80	-6	-3	5.54
-27	30	469.87	80	-6	-3	5.51
-27	30	469.87	79	-6	-3	5.48
-27	30	469.87	79	-6	-3	5.45
-27	30	469.87	79	-6	-3	5.42
-27	30	469.87	80	-6	-3	5.40
-27	30	469.87	80	-6	-3	5.38
-27	30	470.24	80	-6	-3	4.98
-28	30	470.24	81	-6	-3	4.97
-27	30	470.24	80	-6	-3	4.97
-27	30	470.24	80	-6	-3	4.97
-27	30	470.24	80	-6	-3	4.97
-27	30	470.24	80	-6	-3	4.97
-27	30	470.24	80	-6	-3	4.98
-27	30	470.24	79	-6	-3	5.00
