Theta	Angle	Distance	Heading	Roll	Pitch	Voltage
0	29	478.40	29	-1	-4	7.64
0	29	478.40	29	-1	-4	7.64
0	29	478.40	28	-1	-4	7.64
0	29	478.40	28	-1	-4	7.64
0	29	478.40	28	-1	-4	7.64
0	29	478.40	28	-1	-4	7.64
0	29	478.40	28	-1	-4	7.64
0	29	478.40	28	-1	-4	7.64
0	29	478.40	28	-1	-4	7.64
0	29	478.40	28	-1	-4	7.64
0	29	478.40	28	-1	-4	7.66
0	29	478.40	28	-1	-4	7.66
0	29	478.40	28	-1	-4	7.66
0	29	478.40	28	-1	-4	7.66
0	29	478.40	28	-1	-4	7.65
0	29	478.40	28	-1	-4	7.65
0	29	478.40	28	-1	-4	7.65
0	29	478.40	28	-1	-4	7.65
0	29	478.40	28	-1	-4	7.65
0	29	478.40	28	-1	-4	7.65
0	29	478.40	28	-1	-4	7.60
0	29	478.40	28	-1	-4	7.60
0	29	478.40	28	-1	-4	7.60
0	29	478.40	28	-1	-4	7.60
0	29	478.40	28	-1	-4	7.60
0	29	478.40	28	-1	-4	7.60
0	29	478.40	28	-1	-4	7.60
0	29	478.40	28	-1	-4	7.60
0	29	478.40	28	-1	-4	7.60
0	29	478.40	28	-1	-4	7.60
0	29	478.40	28	-1	-4	7.60
0	29	478.40	29	-1	-4	7.56
0	29	478.40	29	-1	-4	7.56
0	29	478.40	29	-1	-4	7.55
0	29	478.40	29	-1	-4	7.55
0	29	478.40	29	-1	-4	7.53
0	29	478.40	29	-1	-4	7.53
0	29	478.40	29	-1	-4	7.53
0	29	478.40	29	-1	-4	7.53
0	29	478.40	29	-1	-4	7.53
0	29	478.40	29	-1	-4	7.49
0	29	478.40	29	-1	-4	7.47
0	29	478.40	29	-1	-4	7.46
0	29	478.40	29	-1	-4	7.46
0	29	478.40	29	-1	-4	7.44
0	29	478.40	29	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.31
0	29	478.40	28	-1	-4	7.31
0	29	478.40	28	-1	-4	7.31
0	29	478.40	28	-1	-4	7.31
0	29	478.40	28	-1	-4	7.31
0	29	478.40	28	-1	-4	7.31
0	29	478.40	28	-1	-4	7.31
0	29	478.40	28	-1	-4	7.31
0	29	478.40	28	-1	-4	7.31
0	29	478.40	28	-1	-4	7.33
0	29	478.40	28	-1	-4	7.33
0	29	478.40	28	-1	-4	7.33
0	29	478.40	28	-1	-4	7.33
0	29	478.40	28	-1	-4	7.33
0	29	478.40	28	-1	-4	7.33
0	29	478.40	28	-1	-4	7.33
0	29	478.40	28	-1	-4	7.38
0	29	478.40	28	-1	-4	7.38
0	29	478.40	28	-1	-4	7.38
0	29	478.40	28	-1	-4	7.42
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.45
0	29	478.40	28	-1	-4	7.45
0	29	478.40	28	-1	-4	7.45
0	29	478.40	28	-1	-4	7.45
0	29	478.40	28	-1	-4	7.45
0	29	478.40	28	-1	-4	7.45
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
1	29	478.40	27	-1	-4	7.42
1	29	478.40	27	-1	-4	7.42
1	29	478.40	27	-1	-4	7.42
1	29	478.40	27	-1	-4	7.42
1	29	478.40	27	-1	-4	7.42
1	29	478.40	27	-1	-4	7.42
1	29	478.40	27	-1	-4	7.42
1	29	478.40	27	-1	-4	7.42
1	29	478.40	27	-1	-4	7.42
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.40
0	29	478.40	28	-1	-4	7.40
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.42
0	29	478.40	29	-1	-4	7.42
0	29	478.40	29	-1	-4	7.42
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.44
0	29	478.40	28	-1	-4	7.43
0	29	478.40	28	-1	-4	7.41
0	29	478.40	28	-1	-4	7.38
0	29	478.40	28	-1	-4	7.34
0	29	478.40	28	-1	-4	7.34
0	29	478.40	28	-1	-4	7.30
0	29	478.40	28	-1	-4	7.30
0	29	478.40	28	-1	-4	7.30
0	29	478.40	28	-1	-4	7.30
0	29	478.40	28	-1	-4	7.30
0	29	478.40	28	-1	-4	7.30
0	29	478.73	28	-1	-4	7.15
0	29	478.73	28	-1	-4	7.12
0	29	478.73	28	-1	-4	7.09
0	29	478.73	28	-1	-4	7.06
0	29	478.73	28	-1	-4	7.01
0	29	478.73	28	-1	-4	6.98
0	29	478.73	28	-1	-4	6.93
0	29	478.73	28	-1	-4	6.90
0	29	478.73	28	-1	-4	6.86
0	29	478.73	28	-1	-4	6.82
0	29	478.73	28	-1	-4	6.80
0	29	478.73	29	-1	-4	6.78
0	29	478.73	28	-1	-4	6.76
0	29	478.73	28	-1	-4	6.75
0	29	478.73	28	-1	-4	6.73
0	29	478.73	28	-1	-4	6.73
0	29	478.73	28	-1	-4	6.72
0	29	478.73	28	-1	-4	6.72
0	29	478.73	28	-1	-4	6.71
0	29	478.73	28	-1	-4	6.70
0	29	478.73	28	-1	-4	6.68
0	29	478.73	28	-1	-4	6.65
0	29	478.73	28	-1	-4	6.63
0	29	478.73	28	-1	-4	6.63
0	29	478.73	29	-1	-4	6.61
0	29	478.73	29	-1	-4	6.61
0	29	478.73	29	-1	-4	6.60
0	29	478.73	29	-1	-4	6.59
0	29	478.73	28	-1	-4	6.59
0	29	478.73	28	-1	-4	6.59
0	29	478.73	28	-1	-4	6.59
0	29	478.73	28	-1	-4	6.58
0	29	478.73	28	-1	-4	6.57
0	29	478.73	28	-1	-4	6.57
0	29	478.73	29	-1	-4	6.57
0	29	478.73	29	-1	-4	6.57
0	29	478.73	29	-1	-4	6.57
0	29	478.73	29	-1	-4	6.57
0	29	478.73	29	-1	-4	6.56
0	29	478.73	29	-1	-4	6.56
0	29	478.73	29	-1	-4	6.56
0	29	478.73	29	-1	-4	6.55
0	29	478.73	29	-1	-4	6.55
0	29	478.73	29	-1	-5	6.55
0	29	478.73	29	-1	-5	6.54
0	29	478.73	28	-1	-5	6.53
0	29	478.73	28	-1	-5	6.53
0	29	478.73	28	-1	-5	6.53
0	29	478.73	28	-1	-5	6.53
0	29	478.73	28	-1	-6	6.51
0	29	478.73	28	-1	-6	6.51
0	29	478.73	28	-2	-6	6.51
0	29	478.73	28	-2	-6	6.51
0	29	478.73	28	-2	-6	6.50
0	29	478.73	28	-2	-6	6.49
0	29	478.73	28	-2	-6	6.48
0	29	478.73	29	-2	-6	6.48
0	29	478.73	28	-2	-6	6.48
0	29	478.73	29	-2	-6	6.48
0	29	478.73	28	-2	-6	6.47
0	29	478.73	29	-2	-6	6.47
0	29	478.73	28	-2	-6	6.47
0	29	478.73	28	-2	-6	6.46
